seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.081,1,295.0,4.0,77930,0.0794,7853.7,4.0,0,0.0,steady
2,0.282,1,295.0,4.0,190947,0.2005,7617.9,7.8,0,0.0,steady
3,3.406,5,5818.1,4.0,2986462,3.1241,7647.5,8.67,0,0.0,switch
4,6.762,5,5818.1,4.0,3208756,3.3554,7650.4,9.32,0,0.0,steady
5,9.976,5,5818.1,4.0,3073850,3.2135,7652.4,10.11,0,0.0,steady
6,12.069,5,5818.1,4.0,2001339,2.0933,7648.7,12.01,0,0.0,steady
7,14.707,5,5818.1,4.0,2522294,2.6376,7650.3,13.37,0,0.0,steady
8,19.152,5,5818.1,4.0,2704846,4.4449,4868.3,12.93,0,0.0,steady
9,20.887,4,2924.4,4.0,1655570,1.7353,7632.4,15.19,0,0.0,switch
10,24.411,5,5818.1,4.0,3365562,3.5229,7642.7,15.67,0,0.0,switch
11,26.791,5,5818.1,4.0,2275093,2.3802,7646.6,17.29,0,0.0,steady
12,29.518,5,5818.1,4.0,2605054,2.7265,7643.7,18.56,0,0.0,steady
13,32.702,5,5818.1,4.0,2999223,3.1841,7535.6,19.38,0,0.0,steady
14,50.94,5,5818.1,4.0,3222204,18.2369,1413.5,5.14,0,0.0,steady
15,51.377,2,685.0,4.0,415959,0.4377,7603.0,8.7,0,0.0,switch
16,53.195,5,5818.1,4.0,1735349,1.818,7636.4,10.89,0,0.0,switch
17,56.521,5,5818.1,4.0,3176389,3.3249,7642.7,11.56,0,0.0,steady
18,60.23,5,5818.1,4.0,3539164,3.7088,7634.2,11.85,0,0.0,steady
19,63.062,5,5818.1,4.0,2702943,2.8317,7636.1,13.02,0,0.0,steady
20,68.088,5,5818.1,4.0,3054691,5.0254,4862.8,11.99,0,0.0,steady
21,69.801,4,2924.4,4.0,1634038,1.7135,7629.2,14.28,0,0.0,switch
22,72.67,5,5818.1,4.0,2740303,2.8686,7642.3,15.41,0,0.0,switch
23,74.215,5,5818.1,4.0,1473621,1.5444,7633.6,17.87,0,0.0,steady
24,77.458,5,5818.1,4.0,3098959,3.2435,7643.5,18.62,0,0.0,steady
25,79.416,5,5818.1,4.0,1868801,1.9573,7638.2,20.67,0,0.0,steady
26,82.253,5,5818.1,4.0,2709372,2.837,7640.0,21.83,0,0.0,steady
27,100.241,5,5818.1,4.0,3095584,17.9885,1376.7,7.84,0,0.0,steady
