seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.084,1,295.0,4.0,77930,0.0801,7783.5,4.0,0,0.0,steady
2,0.284,1,295.0,4.0,190947,0.2001,7632.6,7.8,0,0.0,steady
3,3.409,5,5818.1,4.0,2986462,3.1243,7647.2,8.68,0,0.0,switch
4,6.767,5,5818.1,4.0,3208756,3.3573,7646.1,9.32,0,0.0,steady
5,9.981,5,5818.1,4.0,3073850,3.2133,7652.9,10.1,0,0.0,steady
6,12.074,5,5818.1,4.0,2001339,2.0933,7648.7,12.01,0,0.0,steady
7,16.343,5,5818.1,4.0,2522294,4.2687,4727.0,11.74,0,0.0,steady
8,17.905,4,2924.4,4.0,1489755,1.5616,7632.1,14.18,0,0.0,switch
9,21.294,5,5818.1,4.0,3235440,3.3883,7639.1,14.79,0,0.0,switch
10,24.818,5,5818.1,4.0,3365562,3.524,7640.2,15.27,0,0.0,steady
11,27.2,5,5818.1,4.0,2275093,2.3808,7644.7,16.88,0,0.0,steady
12,48.178,5,5818.1,4.0,2605054,2.7302,7633.3,4.0,1,4.094,steady
13,48.313,1,295.0,4.0,124544,0.1344,7413.1,7.87,1,0.0,switch
14,51.687,5,5818.1,4.0,3222204,3.3739,7640.3,8.49,1,0.0,switch
15,55.429,5,5818.1,4.0,3571798,3.7416,7637.0,8.75,1,0.0,steady
16,57.349,5,5818.1,4.0,1735349,1.92,7230.8,10.83,1,0.0,steady
17,62.265,5,5818.1,4.0,3176389,4.9152,5169.9,9.91,1,0.0,steady
18,64.28,4,2924.4,4.0,1920802,2.0146,7627.5,11.9,1,0.0,switch
19,67.112,5,5818.1,4.0,2702943,2.8313,7637.4,13.07,1,0.0,switch
20,70.31,5,5818.1,4.0,3054691,3.1985,7640.2,13.87,1,0.0,steady
