seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.084,1,295.0,4.0,77930,0.0803,7761.7,4.0,0,0.0,steady
2,0.285,1,295.0,4.0,190947,0.2002,7630.4,7.8,0,0.0,steady
3,3.409,5,5818.1,4.0,2986462,3.1241,7647.5,8.68,0,0.0,switch
4,6.767,5,5818.1,4.0,3208756,3.3577,7645.2,9.32,0,0.0,steady
5,9.982,5,5818.1,4.0,3073850,3.2139,7651.4,10.1,0,0.0,steady
6,12.075,5,5818.1,4.0,2001339,2.0932,7649.1,12.01,0,0.0,steady
7,16.343,5,5818.1,4.0,2522294,4.267,4728.9,11.74,0,0.0,steady
8,17.905,4,2924.4,4.0,1489755,1.5617,7631.7,14.18,0,0.0,switch
9,21.294,5,5818.1,4.0,3235440,3.3883,7639.1,14.79,0,0.0,switch
10,24.818,5,5818.1,4.0,3365562,3.5242,7639.8,15.27,0,0.0,steady
11,27.201,5,5818.1,4.0,2275093,2.3817,7641.9,16.88,0,0.0,steady
12,48.176,5,5818.1,4.0,2605054,2.7297,7634.7,4.0,1,4.092,steady
13,48.311,1,295.0,4.0,124544,0.1339,7442.0,7.87,1,0.0,switch
14,51.685,5,5818.1,4.0,3222204,3.3742,7639.7,8.49,1,0.0,switch
15,55.427,5,5818.1,4.0,3571798,3.7415,7637.2,8.75,1,0.0,steady
16,57.293,5,5818.1,4.0,1735349,1.8661,7439.6,10.88,1,0.0,steady
17,62.279,5,5818.1,4.0,3176389,4.9846,5097.9,9.9,1,0.0,steady
18,64.294,4,2924.4,4.0,1920802,2.0146,7627.6,11.88,1,0.0,switch
19,67.125,5,5818.1,4.0,2702943,2.831,7638.0,13.05,1,0.0,switch
20,70.323,5,5818.1,4.0,3054691,3.1986,7640.2,13.85,1,0.0,steady
