seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.131,1,295.0,4.0,77930,0.1274,4892.0,4.0,0,0.0,steady
2,0.452,1,295.0,4.0,190947,0.3204,4767.8,7.68,0,0.0,steady
3,2.863,4,2924.4,4.0,1440488,2.4109,4779.9,9.27,0,0.0,switch
4,5.476,4,2924.4,4.0,1560430,2.6124,4778.5,10.66,0,0.0,steady
5,8.215,4,2924.4,4.0,1637070,2.739,4781.6,11.92,0,0.0,steady
6,9.91,4,2924.4,4.0,1013753,1.6952,4784.0,14.22,0,0.0,steady
7,12.02,4,2924.4,4.0,1260231,2.1101,4778.0,16.11,0,0.0,steady
8,17.111,4,2924.4,4.0,1489755,5.09,2341.4,15.02,0,0.0,steady
9,18.49,3,1465.2,4.0,824245,1.3791,4781.3,17.64,0,0.0,switch
10,21.358,4,2924.4,4.0,1713066,2.8679,4778.6,18.77,0,0.0,switch
11,23.083,4,2924.4,4.0,1030878,1.7248,4781.4,21.05,0,0.0,steady
12,25.245,4,2924.4,4.0,1291502,2.1614,4780.2,22.89,0,0.0,steady
13,27.85,4,2924.4,4.0,1537016,2.6055,4719.3,24.28,0,0.0,steady
14,45.623,4,2924.4,4.0,1623114,17.4722,743.2,10.51,0,0.0,steady
15,45.876,1,295.0,4.0,149828,0.2528,4740.5,14.25,0,0.0,switch
16,47.089,4,2924.4,4.0,723959,1.2126,4776.1,17.04,0,0.0,switch
17,49.466,4,2924.4,4.0,1419382,2.3771,4776.8,18.66,0,0.0,steady
18,52.684,4,2924.4,4.0,1920802,3.2176,4775.7,19.45,0,0.0,steady
19,54.974,4,2924.4,4.0,1367677,2.29,4778.0,21.16,0,0.0,steady
20,59.87,4,2924.4,4.0,1610274,4.8959,2631.2,20.26,0,0.0,steady
21,61.858,3,1465.2,4.0,857478,1.9871,3452.2,22.27,0,0.0,switch
22,64.109,4,2924.4,4.0,1343919,2.2512,4775.9,24.02,0,0.0,switch
23,65.461,4,2924.4,4.0,746363,1.2519,4769.4,26.67,0,0.0,steady
24,70.859,4,2924.4,4.0,1604801,2.6887,4774.9,25.27,0,0.0,steady
