seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.085,1,295.0,4.0,77930,0.0806,7735.7,4.0,0,0.0,steady
2,0.285,1,295.0,4.0,190947,0.2001,7634.4,7.8,0,0.0,steady
3,3.41,5,5818.1,4.0,2986462,3.1242,7647.2,8.67,0,0.0,switch
4,6.768,5,5818.1,4.0,3208756,3.3573,7646.1,9.32,0,0.0,steady
5,9.982,5,5818.1,4.0,3073850,3.2138,7651.7,10.1,0,0.0,steady
6,12.076,5,5818.1,4.0,2001339,2.0939,7646.5,12.01,0,0.0,steady
7,14.714,5,5818.1,4.0,2522294,2.6365,7653.4,13.37,0,0.0,steady
8,19.014,5,5818.1,4.0,2704846,4.2995,5032.8,13.07,0,0.0,steady
9,20.749,4,2924.4,4.0,1655570,1.735,7633.7,15.34,0,0.0,switch
10,24.274,5,5818.1,4.0,3365562,3.5244,7639.5,15.81,0,0.0,switch
11,26.656,5,5818.1,4.0,2275093,2.3812,7643.6,17.43,0,0.0,steady
12,29.383,5,5818.1,4.0,2605054,2.7269,7642.5,18.7,0,0.0,steady
13,32.621,5,5818.1,4.0,2999223,3.2377,7410.7,19.46,0,0.0,steady
14,50.862,5,5818.1,4.0,3222204,18.2397,1413.3,5.22,0,0.0,steady
15,51.3,2,685.0,4.0,415959,0.4386,7587.3,8.78,0,0.0,switch
16,54.126,5,5818.1,4.0,1735349,2.8251,4914.1,9.96,0,0.0,switch
17,55.614,4,2924.4,4.0,1419382,1.4887,7627.6,12.47,0,0.0,switch
18,59.322,5,5818.1,4.0,3539164,3.7075,7636.8,12.76,0,0.0,switch
19,62.153,5,5818.1,4.0,2702943,2.8303,7639.9,13.93,0,0.0,steady
20,65.588,5,5818.1,4.0,3054691,3.4352,7113.8,14.5,0,0.0,steady
21,70.859,5,5818.1,4.0,3415444,5.2702,5184.5,13.23,0,0.0,steady
22,72.27,4,2924.4,4.0,1343919,1.4108,7620.6,15.82,0,0.0,switch
23,73.815,5,5818.1,4.0,1473621,1.5453,7628.9,18.27,0,0.0,switch
24,77.059,5,5818.1,4.0,3098959,3.2442,7641.8,19.03,0,0.0,steady
25,79.018,5,5818.1,4.0,1868801,1.9588,7632.3,21.07,0,0.0,steady
26,81.855,5,5818.1,4.0,2709372,2.8371,7639.9,22.23,0,0.0,steady
27,85.097,5,5818.1,4.0,3095584,3.2413,7640.3,22.99,0,0.0,steady
