seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.132,1,295.0,4.0,77930,0.1274,4892.1,4.0,0,0.0,steady
2,0.452,1,295.0,4.0,190947,0.32,4774.4,7.68,0,0.0,steady
3,2.864,4,2924.4,4.0,1440488,2.4119,4777.9,9.27,0,0.0,switch
4,5.477,4,2924.4,4.0,1560430,2.6122,4778.9,10.66,0,0.0,steady
5,8.217,4,2924.4,4.0,1637070,2.7393,4781.1,11.92,0,0.0,steady
6,9.911,4,2924.4,4.0,1013753,1.6946,4785.9,14.22,0,0.0,steady
7,12.023,4,2924.4,4.0,1260231,2.1111,4775.7,16.11,0,0.0,steady
8,14.515,4,2924.4,4.0,1489755,2.4919,4782.7,17.62,0,0.0,steady
9,17.288,4,2924.4,4.0,1655570,2.7735,4775.4,18.84,0,0.0,steady
10,22.573,4,2924.4,4.0,1713066,5.2841,2593.5,17.56,0,0.0,steady
11,23.548,3,1465.2,4.0,582629,0.975,4780.8,20.58,0,0.0,switch
12,25.71,4,2924.4,4.0,1291502,2.1616,4779.9,22.42,0,0.0,switch
13,28.282,4,2924.4,4.0,1537016,2.5725,4779.9,23.85,0,0.0,steady
14,30.998,4,2924.4,4.0,1623114,2.7159,4781.1,25.13,0,0.0,steady
15,35.43,4,2924.4,4.0,1928282,3.2286,4778.0,24.7,0,0.0,steady
16,37.445,4,2924.4,4.0,723959,1.213,4774.9,26.69,0,0.0,steady
17,42.578,4,2924.4,4.0,1419382,2.4245,4683.6,25.55,0,0.0,steady
18,60.347,4,2924.4,4.0,1920802,5.2372,2934.1,11.79,0,0.0,steady
19,61.515,3,1465.2,4.0,696701,1.1676,4773.4,14.62,0,0.0,switch
20,64.212,4,2924.4,4.0,1610274,2.6972,4776.2,15.92,0,0.0,switch
21,66.947,4,2924.4,4.0,1634038,2.7353,4779.1,17.18,0,0.0,steady
22,69.197,4,2924.4,4.0,1343919,2.2499,4778.7,18.93,0,0.0,steady
23,70.448,4,2924.4,4.0,746363,1.2507,4774.1,21.68,0,0.0,steady
24,73.135,4,2924.4,4.0,1604801,2.6871,4777.8,23.0,0,0.0,steady
25,74.607,4,2924.4,4.0,878550,1.4715,4776.4,25.52,0,0.0,steady
26,80.198,4,2924.4,4.0,1313599,3.9873,2635.6,23.93,0,0.0,steady
27,82.304,3,1465.2,4.0,858230,2.1056,3260.7,25.83,0,0.0,switch
28,87.235,4,2924.4,4.0,1805843,3.0254,4775.2,24.9,0,0.0,switch
29,90.911,4,2924.4,4.0,1654943,2.7725,4775.3,25.22,0,0.0,steady
30,94.802,4,2924.4,4.0,1544526,2.5876,4775.1,25.33,0,0.0,steady
31,99.35,4,2924.4,4.0,1876562,3.1435,4775.7,24.78,0,0.0,steady
32,117.701,4,2924.4,4.0,1615454,17.5484,736.5,10.43,0,0.0,steady
