seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.084,1,295.0,4.0,77930,0.08,7789.1,4.0,0,0.0,steady
2,0.284,1,295.0,4.0,190947,0.2002,7628.5,7.8,0,0.0,steady
3,3.408,5,5818.1,4.0,2986462,3.1237,7648.6,8.68,0,0.0,switch
4,6.767,5,5818.1,4.0,3208756,3.3584,7643.6,9.32,0,0.0,steady
5,9.982,5,5818.1,4.0,3073850,3.2137,7651.8,10.1,0,0.0,steady
6,12.075,5,5818.1,4.0,2001339,2.0935,7648.0,12.01,0,0.0,steady
7,16.33,5,5818.1,4.0,2522294,4.254,4743.3,11.75,0,0.0,steady
8,17.891,4,2924.4,4.0,1489755,1.5613,7633.6,14.19,0,0.0,switch
9,21.28,5,5818.1,4.0,3235440,3.388,7639.7,14.8,0,0.0,switch
10,24.805,5,5818.1,4.0,3365562,3.5246,7638.9,15.28,0,0.0,steady
11,27.186,5,5818.1,4.0,2275093,2.3811,7643.8,16.9,0,0.0,steady
12,48.193,5,5818.1,4.0,2605054,2.7297,7634.7,4.0,1,4.11,steady
13,48.328,1,295.0,4.0,124544,0.1342,7425.7,7.87,1,0.0,switch
14,51.703,5,5818.1,4.0,3222204,3.3742,7639.6,8.49,1,0.0,switch
15,55.445,5,5818.1,4.0,3571798,3.7417,7636.7,8.75,1,0.0,steady
16,57.486,5,5818.1,4.0,1735349,2.0414,6800.7,10.71,1,0.0,steady
17,62.152,5,5818.1,4.0,3176389,3.3279,7635.7,10.04,1,0.0,steady
18,65.859,5,5818.1,4.0,3539164,3.7063,7639.2,10.33,1,0.0,steady
19,68.691,5,5818.1,4.0,2702943,2.8311,7637.9,11.5,1,0.0,steady
20,71.889,5,5818.1,4.0,3054691,3.1985,7640.4,12.3,1,0.0,steady
