seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.084,1,295.0,4.0,77930,0.0801,7779.2,4.0,0,0.0,steady
2,0.284,1,295.0,4.0,190947,0.2,7638.4,7.8,0,0.0,steady
3,3.409,5,5818.1,4.0,2986462,3.1243,7647.0,8.68,0,0.0,switch
4,6.766,5,5818.1,4.0,3208756,3.3573,7646.0,9.32,0,0.0,steady
5,9.981,5,5818.1,4.0,3073850,3.2136,7652.1,10.1,0,0.0,steady
6,12.074,5,5818.1,4.0,2001339,2.0934,7648.0,12.01,0,0.0,steady
7,14.712,5,5818.1,4.0,2522294,2.6367,7652.8,13.37,0,0.0,steady
8,17.541,5,5818.1,4.0,2704846,2.8289,7649.2,14.54,0,0.0,steady
9,22.542,5,5818.1,4.0,3235440,5.0001,5176.6,13.54,0,0.0,steady
10,24.336,4,2924.4,4.0,1713066,1.7947,7636.1,15.75,0,0.0,switch
11,26.718,5,5818.1,4.0,2275093,2.3812,7643.5,17.37,0,0.0,switch
12,29.446,5,5818.1,4.0,2605054,2.7275,7641.0,18.64,0,0.0,steady
13,32.586,5,5818.1,4.0,2999223,3.1393,7643.0,19.5,0,0.0,steady
14,35.959,5,5818.1,4.0,3222204,3.3725,7643.4,20.12,0,0.0,steady
15,39.754,5,5818.1,4.0,3571798,3.7942,7531.0,20.33,0,0.0,steady
16,41.571,5,5818.1,4.0,1735349,1.8173,7639.3,22.51,0,0.0,steady
17,58.848,5,5818.1,4.0,3176389,17.2755,1470.9,9.24,0,0.0,steady
18,59.329,2,685.0,4.0,456690,0.4816,7586.4,12.75,0,0.0,switch
19,62.16,5,5818.1,4.0,2702943,2.8307,7639.0,13.92,0,0.0,switch
20,65.359,5,5818.1,4.0,3054691,3.1983,7640.7,14.73,0,0.0,steady
21,68.934,5,5818.1,4.0,3415444,3.5756,7641.7,15.15,0,0.0,steady
22,71.804,5,5818.1,4.0,2740303,2.8695,7639.8,16.28,0,0.0,steady
23,73.349,5,5818.1,4.0,1473621,1.5447,7631.8,18.73,0,0.0,steady
24,76.593,5,5818.1,4.0,3098959,3.2441,7642.0,19.49,0,0.0,steady
25,80.316,5,5818.1,4.0,1868801,3.7226,4016.2,19.77,0,0.0,steady
26,81.695,4,2924.4,4.0,1313599,1.3788,7621.5,22.39,0,0.0,switch
27,84.936,5,5818.1,4.0,3095584,3.2411,7640.7,23.15,0,0.0,switch
28,88.772,5,5818.1,4.0,3663678,3.8353,7642.1,23.31,0,0.0,steady
29,92.094,5,5818.1,4.0,3173531,3.3226,7641.2,23.99,0,0.0,steady
30,95.415,5,5818.1,4.0,3172071,3.321,7641.3,24.67,0,0.0,steady
31,99.79,5,5818.1,4.0,3505634,3.6718,7638.0,24.29,0,0.0,steady
32,118.268,5,5818.1,4.0,3329855,18.1774,1465.5,9.82,0,0.0,steady
