seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.131,1,295.0,4.0,77930,0.1268,4918.6,4.0,0,0.0,steady
2,0.452,1,295.0,4.0,190947,0.3207,4763.3,7.68,0,0.0,steady
3,2.863,4,2924.4,4.0,1440488,2.4115,4778.8,9.27,0,0.0,switch
4,5.475,4,2924.4,4.0,1560430,2.6119,4779.4,10.66,0,0.0,steady
5,8.215,4,2924.4,4.0,1637070,2.7394,4780.8,11.92,0,0.0,steady
6,9.91,4,2924.4,4.0,1013753,1.6948,4785.3,14.22,0,0.0,steady
7,12.02,4,2924.4,4.0,1260231,2.11,4778.2,16.11,0,0.0,steady
8,14.513,4,2924.4,4.0,1489755,2.4931,4780.4,17.62,0,0.0,steady
9,19.692,4,2924.4,4.0,1655570,5.1781,2557.8,16.44,0,0.0,steady
10,21.144,3,1465.2,4.0,867957,1.4522,4781.6,18.99,0,0.0,switch
11,22.87,4,2924.4,4.0,1030878,1.7253,4779.9,21.26,0,0.0,switch
12,25.031,4,2924.4,4.0,1291502,2.1614,4780.2,23.1,0,0.0,steady
13,27.604,4,2924.4,4.0,1537016,2.5722,4780.5,24.53,0,0.0,steady
14,30.924,4,2924.4,4.0,1623114,2.7175,4778.2,25.21,0,0.0,steady
15,50.247,4,2924.4,4.0,1928282,18.0189,856.1,9.88,0,0.0,steady
16,50.553,2,685.0,4.0,181459,0.3059,4744.9,13.58,0,0.0,switch
17,52.93,4,2924.4,4.0,1419382,2.3772,4776.6,15.2,0,0.0,switch
18,56.147,4,2924.4,4.0,1920802,3.2163,4777.7,15.98,0,0.0,steady
19,58.438,4,2924.4,4.0,1367677,2.2914,4775.0,17.69,0,0.0,steady
20,61.135,4,2924.4,4.0,1610274,2.6964,4777.5,19.0,0,0.0,steady
21,63.87,4,2924.4,4.0,1634038,2.7353,4779.1,20.26,0,0.0,steady
22,68.06,4,2924.4,4.0,1343919,4.1896,2566.2,20.07,0,0.0,steady
23,69.166,3,1465.2,4.0,387152,1.1054,2801.8,22.97,0,0.0,switch
24,70.505,3,1465.2,4.0,798861,1.3389,4773.2,25.63,0,0.0,steady
25,73.683,4,2924.4,4.0,878550,1.4734,4770.2,26.45,0,0.0,switch
26,78.39,4,2924.4,4.0,1313599,2.2013,4774.0,25.74,0,0.0,steady
27,82.909,4,2924.4,4.0,1620229,2.7145,4775.0,25.22,0,0.0,steady
