seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.131,1,295.0,4.0,77930,0.1273,4895.6,4.0,0,0.0,steady
2,0.451,1,295.0,4.0,190947,0.3201,4772.2,7.68,0,0.0,steady
3,2.863,4,2924.4,4.0,1440488,2.4113,4779.1,9.27,0,0.0,switch
4,5.475,4,2924.4,4.0,1560430,2.6119,4779.4,10.66,0,0.0,steady
5,8.215,4,2924.4,4.0,1637070,2.7396,4780.4,11.92,0,0.0,steady
6,9.91,4,2924.4,4.0,1013753,1.6952,4784.2,14.22,0,0.0,steady
7,12.02,4,2924.4,4.0,1260231,2.1094,4779.5,16.11,0,0.0,steady
8,14.513,4,2924.4,4.0,1489755,2.4933,4780.0,17.62,0,0.0,steady
9,17.285,4,2924.4,4.0,1655570,2.7718,4778.3,18.85,0,0.0,steady
10,22.573,4,2924.4,4.0,1713066,5.2871,2592.1,17.56,0,0.0,steady
11,23.548,3,1465.2,4.0,582629,0.9752,4779.4,20.58,0,0.0,switch
12,25.71,4,2924.4,4.0,1291502,2.1612,4780.6,22.42,0,0.0,switch
13,28.282,4,2924.4,4.0,1537016,2.572,4780.8,23.85,0,0.0,steady
14,30.998,4,2924.4,4.0,1623114,2.7163,4780.4,25.13,0,0.0,steady
15,35.431,4,2924.4,4.0,1928282,3.229,4777.4,24.7,0,0.0,steady
16,37.346,4,2924.4,4.0,723959,1.2128,4775.6,26.79,0,0.0,steady
17,42.58,4,2924.4,4.0,1419382,2.4264,4679.7,25.55,0,0.0,steady
18,60.283,4,2924.4,4.0,1920802,5.2361,2934.7,11.85,0,0.0,steady
19,61.45,3,1465.2,4.0,696701,1.1671,4775.6,14.68,0,0.0,switch
20,64.147,4,2924.4,4.0,1610274,2.6969,4776.7,15.98,0,0.0,switch
21,66.882,4,2924.4,4.0,1634038,2.7354,4778.9,17.25,0,0.0,steady
22,69.132,4,2924.4,4.0,1343919,2.2498,4778.8,19.0,0,0.0,steady
23,70.383,4,2924.4,4.0,746363,1.2508,4773.5,21.75,0,0.0,steady
24,73.07,4,2924.4,4.0,1604801,2.6868,4778.4,23.06,0,0.0,steady
25,74.542,4,2924.4,4.0,878550,1.4716,4776.2,25.59,0,0.0,steady
26,80.096,4,2924.4,4.0,1313599,3.9494,2660.9,24.03,0,0.0,steady
27,82.265,3,1465.2,4.0,858230,2.0688,3318.7,25.87,0,0.0,switch
28,87.196,4,2924.4,4.0,1805843,3.0253,4775.3,24.93,0,0.0,switch
29,90.972,4,2924.4,4.0,1654943,2.7731,4774.3,25.16,0,0.0,steady
30,94.764,4,2924.4,4.0,1544526,2.5878,4774.9,25.37,0,0.0,steady
31,99.311,4,2924.4,4.0,1876562,3.1431,4776.3,24.82,0,0.0,steady
32,117.616,4,2924.4,4.0,1615454,17.4021,742.6,10.51,0,0.0,steady
