seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.131,1,295.0,4.0,77930,0.127,4908.5,4.0,0,0.0,steady
2,0.451,1,295.0,4.0,190947,0.3201,4772.4,7.68,0,0.0,steady
3,2.863,4,2924.4,4.0,1440488,2.4118,4778.1,9.27,0,0.0,switch
4,5.475,4,2924.4,4.0,1560430,2.6118,4779.7,10.66,0,0.0,steady
5,8.215,4,2924.4,4.0,1637070,2.7395,4780.6,11.92,0,0.0,steady
6,9.911,4,2924.4,4.0,1013753,1.6953,4783.8,14.22,0,0.0,steady
7,12.02,4,2924.4,4.0,1260231,2.1094,4779.4,16.11,0,0.0,steady
8,14.513,4,2924.4,4.0,1489755,2.4927,4781.2,17.62,0,0.0,steady
9,19.729,4,2924.4,4.0,1655570,5.2158,2539.3,16.4,0,0.0,steady
10,21.181,3,1465.2,4.0,867957,1.4523,4781.2,18.95,0,0.0,switch
11,22.907,4,2924.4,4.0,1030878,1.7253,4780.1,21.22,0,0.0,switch
12,25.069,4,2924.4,4.0,1291502,2.1617,4779.6,23.06,0,0.0,steady
13,27.641,4,2924.4,4.0,1537016,2.5719,4781.0,24.49,0,0.0,steady
14,30.86,4,2924.4,4.0,1623114,2.7173,4778.6,25.27,0,0.0,steady
15,54.132,4,2924.4,4.0,1928282,3.2319,4773.1,6.0,0,0.0,steady
16,55.347,4,2924.4,4.0,723959,1.2149,4767.0,8.78,0,0.0,steady
17,57.725,4,2924.4,4.0,1419382,2.3777,4775.7,10.41,0,0.0,steady
18,60.942,4,2924.4,4.0,1920802,3.2161,4778.0,11.19,0,0.0,steady
19,63.233,4,2924.4,4.0,1367677,2.2914,4775.0,12.9,0,0.0,steady
20,67.787,4,2924.4,4.0,1610274,4.5533,2829.2,12.34,0,0.0,steady
21,69.841,3,1465.2,4.0,857478,2.0537,3340.2,14.29,0,0.0,switch
22,72.092,4,2924.4,4.0,1343919,2.2508,4776.8,16.04,0,0.0,switch
23,73.343,4,2924.4,4.0,746363,1.2512,4772.0,18.79,0,0.0,steady
24,76.031,4,2924.4,4.0,1604801,2.6873,4777.4,20.1,0,0.0,steady
25,77.503,4,2924.4,4.0,878550,1.4726,4772.7,22.63,0,0.0,steady
26,79.704,4,2924.4,4.0,1313599,2.2003,4776.2,24.43,0,0.0,steady
27,82.92,4,2924.4,4.0,1620229,2.7146,4774.9,25.21,0,0.0,steady
