t,x,dist,rsu,rssi,rssi_src,bw_mbps,quality,quality_idx,seg,loss,stall,buffer_s,handover,vehicle_speed_kmh,outage,cum_outage_s
0.0,-300.0,300.0,1,-76.00,live,0.500,360p,0,5,0.000,0,20.0,0,20.0,0,0.000
0.5,-297.2,297.2,1,-76.00,live,0.500,360p,0,5,0.000,0,19.5,0,20.0,0,0.000
1.0,-294.4,294.4,1,-76.00,live,0.500,360p,0,5,0.000,0,19.0,0,20.0,0,0.000
1.5,-291.7,291.7,1,-75.00,live,0.500,360p,0,5,0.000,0,18.5,0,20.0,0,0.000
2.0,-288.9,288.9,1,-75.00,live,0.500,360p,0,5,0.000,0,18.0,0,20.0,0,0.000
2.5,-286.1,286.1,1,-75.00,live,0.500,360p,0,5,0.000,0,17.5,0,20.0,0,0.000
3.0,-283.3,283.3,1,-75.00,live,0.500,360p,0,5,0.000,0,17.0,0,20.0,0,0.000
3.5,-280.6,280.6,1,-75.00,live,0.500,360p,0,5,0.000,0,16.5,0,20.0,0,0.000
4.0,-277.8,277.8,1,-75.00,live,0.500,360p,0,5,0.000,0,16.0,0,20.0,0,0.000
4.5,-275.0,275.0,1,-75.00,live,0.500,360p,0,5,0.000,0,15.5,0,20.0,0,0.000
5.0,-272.2,272.2,1,-75.00,live,0.500,360p,0,5,0.000,0,15.0,0,20.0,0,0.000
5.5,-269.4,269.4,1,-75.00,live,0.500,360p,0,5,0.000,0,14.5,0,20.0,0,0.000
6.0,-266.7,266.7,1,-75.00,live,0.500,360p,0,5,0.000,0,14.0,0,20.0,0,0.000
6.5,-263.9,263.9,1,-75.00,live,0.500,360p,0,6,0.000,0,17.5,0,20.0,0,0.000
7.0,-261.1,261.1,1,-75.00,live,0.500,360p,0,6,0.000,0,17.0,0,20.0,0,0.000
7.5,-258.3,258.3,1,-74.00,live,2.000,360p,0,6,0.000,0,16.5,0,20.0,0,0.000
8.0,-255.5,255.5,1,-74.00,live,2.000,360p,0,6,0.000,0,16.0,0,20.0,0,0.000
8.5,-252.8,252.8,1,-74.00,live,2.000,360p,0,7,0.000,0,19.5,0,20.0,0,0.000
9.0,-250.0,250.0,1,-74.00,live,2.000,360p,0,7,0.000,0,19.0,0,20.0,0,0.000
9.5,-247.2,247.2,1,-74.00,live,2.000,360p,0,7,0.000,0,18.5,0,20.0,0,0.000
10.0,-244.4,244.4,1,-74.00,live,2.000,360p,0,8,0.000,0,22.0,0,20.0,0,0.000
10.5,-241.6,241.6,1,-74.00,live,2.000,360p,0,8,0.000,0,21.5,0,20.0,0,0.000
11.0,-238.9,238.9,1,-74.00,live,2.000,360p,0,8,0.000,0,21.0,0,20.0,0,0.000
11.5,-236.1,236.1,1,-74.00,live,2.000,360p,0,8,0.000,0,20.5,0,20.0,0,0.000
12.0,-233.3,233.3,1,-74.00,live,2.000,360p,0,8,0.000,0,20.0,0,20.0,0,0.000
12.5,-230.5,230.5,1,-73.00,live,2.000,360p,0,9,0.000,0,23.5,0,20.0,0,0.000
13.0,-227.8,227.8,1,-73.00,live,2.000,360p,0,9,0.000,0,23.0,0,20.0,0,0.000
13.5,-225.0,225.0,1,-73.00,live,2.000,360p,0,9,0.000,0,22.5,0,20.0,0,0.000
14.0,-222.2,222.2,1,-73.00,live,2.000,360p,0,9,0.000,0,22.0,0,20.0,0,0.000
14.5,-219.4,219.4,1,-73.00,live,2.000,360p,0,10,0.000,0,25.5,0,20.0,0,0.000
15.0,-216.6,216.6,1,-73.00,live,2.000,360p,0,10,0.000,0,25.0,0,20.0,0,0.000
15.5,-213.9,213.9,1,-73.00,live,2.000,360p,0,10,0.000,0,24.5,0,20.0,0,0.000
16.0,-211.1,211.1,1,-73.00,live,2.000,360p,0,10,0.000,0,24.0,0,20.0,0,0.000
16.5,-208.3,208.3,1,-73.00,live,2.000,360p,0,10,0.000,0,23.5,0,20.0,0,0.000
17.0,-205.5,205.5,1,-73.00,live,2.000,360p,0,11,0.000,0,27.0,0,20.0,0,0.000
17.5,-202.7,202.7,1,-72.00,live,2.000,360p,0,11,0.000,0,26.5,0,20.0,0,0.000
18.0,-200.0,200.0,1,-72.00,live,2.000,360p,0,11,0.000,0,26.0,0,20.0,0,0.000
18.5,-197.2,197.2,1,-72.00,live,2.000,360p,0,12,0.000,0,29.5,0,20.0,0,0.000
19.0,-194.4,194.4,1,-72.00,live,2.000,360p,0,12,0.000,0,29.0,0,20.0,0,0.000
19.5,-191.6,191.6,1,-72.00,live,2.000,360p,0,12,0.000,0,28.5,0,20.0,0,0.000
