t,x,dist,rsu,rssi,rssi_src,bw_mbps,quality,quality_idx,seg,loss,stall,buffer_s,handover,vehicle_speed_kmh,outage,cum_outage_s
0.0,-300.0,300.0,1,-76.00,live,0.500,360p,0,5,0.000,0,20.0,0,80.0,0,0.000
0.5,-288.9,288.9,1,-75.00,live,0.500,360p,0,5,0.000,0,19.5,0,80.0,0,0.000
1.0,-277.8,277.8,1,-75.00,live,0.500,360p,0,5,0.000,0,19.0,0,80.0,0,0.000
1.5,-266.7,266.7,1,-75.00,live,0.500,360p,0,5,0.000,0,18.5,0,80.0,0,0.000
2.0,-255.5,255.5,1,-74.00,live,2.000,360p,0,5,0.000,0,18.0,0,80.0,0,0.000
2.5,-244.4,244.4,1,-74.00,live,2.000,360p,0,5,0.000,0,17.5,0,80.0,0,0.000
3.0,-233.3,233.3,1,-74.00,live,2.000,360p,0,5,0.000,0,17.0,0,80.0,0,0.000
3.5,-222.2,222.2,1,-73.00,live,2.000,360p,0,6,0.000,0,20.5,0,80.0,0,0.000
4.0,-211.1,211.1,1,-73.00,live,2.000,360p,0,6,0.000,0,20.0,0,80.0,0,0.000
4.5,-200.0,200.0,1,-72.00,live,2.000,360p,0,7,0.000,0,23.5,0,80.0,0,0.000
5.0,-188.9,188.9,1,-72.00,live,2.000,360p,0,7,0.000,0,23.0,0,80.0,0,0.000
5.5,-177.7,177.7,1,-71.00,live,5.000,360p,0,7,0.000,0,22.5,0,80.0,0,0.000
6.0,-166.6,166.6,1,-71.00,live,5.000,360p,0,8,0.000,0,26.0,0,80.0,0,0.000
6.5,-155.5,155.5,1,-70.00,live,5.000,360p,0,8,0.000,0,25.5,0,80.0,0,0.000
7.0,-144.4,144.4,1,-70.00,live,5.000,720p,1,9,0.000,0,29.0,0,80.0,0,0.000
7.5,-133.3,133.3,1,-69.00,live,5.000,720p,1,9,0.000,0,28.5,0,80.0,0,0.000
8.0,-122.2,122.2,1,-68.00,live,5.000,720p,1,9,0.000,0,28.0,0,80.0,0,0.000
8.5,-111.1,111.1,1,-67.00,live,5.000,720p,1,9,0.000,0,27.5,0,80.0,0,0.000
9.0,-99.9,99.9,1,-67.00,live,5.000,720p,1,10,0.000,0,29.5,0,80.0,0,0.000
9.5,-88.8,88.8,1,-66.00,live,5.000,720p,1,10,0.000,0,29.0,0,80.0,0,0.000
10.0,-77.7,77.7,1,-65.00,live,8.000,720p,1,10,0.000,0,28.5,0,80.0,0,0.000
10.5,-66.6,66.6,1,-63.00,live,8.000,720p,1,10,0.000,0,28.0,0,80.0,0,0.000
11.0,-55.5,55.5,1,-62.00,live,8.000,720p,1,11,0.000,0,29.5,0,80.0,0,0.000
11.5,-44.4,44.4,1,-60.00,live,8.000,720p,1,11,0.000,0,29.0,0,80.0,0,0.000
12.0,-33.3,33.3,1,-58.00,live,10.000,1080p,2,12,0.000,0,29.5,0,80.0,0,0.000
12.5,-22.2,22.2,1,-54.00,live,10.000,1080p,2,12,0.000,0,29.0,0,80.0,0,0.000
13.0,-11.0,11.0,1,-48.00,live,10.000,1080p,2,12,0.000,0,28.5,0,80.0,0,0.000
13.5,0.1,0.1,1,-10.00,live,10.000,1080p,2,13,0.000,0,29.5,0,80.0,0,0.000
14.0,11.2,11.2,1,-49.00,live,10.000,1080p,2,13,0.000,0,29.0,0,80.0,0,0.000
14.5,22.3,22.3,1,-54.00,live,10.000,1080p,2,13,0.000,0,28.5,0,80.0,0,0.000
15.0,33.4,33.4,1,-58.00,live,10.000,1080p,2,13,0.000,0,28.0,0,80.0,0,0.000
15.5,44.5,44.5,1,-60.00,live,10.000,1080p,2,14,0.000,0,29.5,0,80.0,0,0.000
16.0,55.6,55.6,1,-62.00,live,10.000,1080p,2,14,0.000,0,29.0,0,80.0,0,0.000
16.5,66.8,66.8,1,-63.00,live,8.000,1080p,2,14,10.000,0,28.5,0,80.0,0,0.000
17.0,77.9,77.9,1,-65.00,live,8.000,1080p,2,14,0.000,0,28.0,0,80.0,0,0.000
17.5,89.0,89.0,1,-66.00,live,8.000,1080p,2,14,0.000,0,27.5,0,80.0,0,0.000
18.0,100.1,100.1,1,-67.00,live,8.000,1080p,2,15,0.000,0,29.5,0,80.0,0,0.000
18.5,111.2,111.2,1,-67.00,live,8.000,1080p,2,15,0.000,0,29.0,0,80.0,0,0.000
19.0,122.3,122.3,1,-68.00,live,8.000,1080p,2,15,0.000,0,28.5,0,80.0,0,0.000
19.5,133.4,133.4,1,-69.00,live,5.000,1080p,2,15,0.000,0,28.0,0,80.0,0,0.000
20.0,144.6,144.6,1,-70.00,live,5.000,1080p,2,15,0.000,0,27.5,0,80.0,0,0.000
20.5,155.7,155.7,1,-70.00,live,5.000,1080p,2,15,0.000,0,27.0,0,80.0,0,0.000
21.0,166.8,166.8,1,-71.00,live,5.000,1080p,2,15,0.000,0,26.5,0,80.0,0,0.000
21.5,177.9,177.9,1,-71.00,live,5.000,1080p,2,15,0.000,0,26.0,0,80.0,0,0.000
22.0,189.0,189.0,1,-72.00,live,5.000,720p,1,16,0.000,0,29.5,0,80.0,0,0.000
22.5,200.1,200.1,1,-72.00,live,5.000,720p,1,16,0.000,0,29.0,0,80.0,0,0.000
23.0,211.2,211.2,1,-73.00,live,5.000,720p,1,17,0.000,0,29.5,0,80.0,0,0.000
23.5,222.4,222.4,1,-73.00,live,5.000,720p,1,17,0.000,0,29.0,0,80.0,0,0.000
24.0,233.5,233.5,1,-74.00,live,5.000,720p,1,17,0.000,0,28.5,0,80.0,0,0.000
