seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.085,1,295.0,4.0,77930,0.0802,7770.5,4.0,0,0.0,steady
2,0.285,1,295.0,4.0,190947,0.2002,7629.4,7.8,0,0.0,steady
3,3.41,5,5818.1,4.0,2986462,3.1242,7647.2,8.67,0,0.0,switch
4,6.768,5,5818.1,4.0,3208756,3.3576,7645.4,9.32,0,0.0,steady
5,9.983,5,5818.1,4.0,3073850,3.2141,7650.8,10.1,0,0.0,steady
6,12.077,5,5818.1,4.0,2001339,2.0938,7646.9,12.01,0,0.0,steady
7,16.331,5,5818.1,4.0,2522294,4.2538,4743.6,11.75,0,0.0,steady
8,17.894,4,2924.4,4.0,1489755,1.5626,7627.1,14.19,0,0.0,switch
9,21.283,5,5818.1,4.0,3235440,3.3886,7638.3,14.8,0,0.0,switch
10,24.808,5,5818.1,4.0,3365562,3.5243,7639.7,15.28,0,0.0,steady
11,27.189,5,5818.1,4.0,2275093,2.3808,7644.7,16.9,0,0.0,steady
12,48.191,5,5818.1,4.0,2605054,2.7293,7635.7,4.0,1,4.107,steady
13,48.327,1,295.0,4.0,124544,0.1356,7347.1,7.86,1,0.0,switch
14,51.702,5,5818.1,4.0,3222204,3.3741,7639.8,8.49,1,0.0,switch
15,55.444,5,5818.1,4.0,3571798,3.7422,7635.7,8.75,1,0.0,steady
16,57.332,5,5818.1,4.0,1735349,1.8873,7355.9,10.86,1,0.0,steady
17,62.24,5,5818.1,4.0,3176389,4.9081,5177.4,9.95,1,0.0,steady
18,64.256,4,2924.4,4.0,1920802,2.0157,7623.3,11.93,1,0.0,switch
19,67.088,5,5818.1,4.0,2702943,2.8314,7637.1,13.1,1,0.0,switch
20,70.287,5,5818.1,4.0,3054691,3.199,7639.2,13.9,1,0.0,steady
