seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.132,1,295.0,4.0,77930,0.127,4909.6,4.0,0,0.0,steady
2,0.453,1,295.0,4.0,190947,0.3206,4764.5,7.68,0,0.0,steady
3,2.864,4,2924.4,4.0,1440488,2.4114,4778.9,9.27,0,0.0,switch
4,5.477,4,2924.4,4.0,1560430,2.6118,4779.6,10.66,0,0.0,steady
5,8.216,4,2924.4,4.0,1637070,2.7391,4781.3,11.92,0,0.0,steady
6,9.911,4,2924.4,4.0,1013753,1.6948,4785.2,14.22,0,0.0,steady
7,12.021,4,2924.4,4.0,1260231,2.1099,4778.4,16.11,0,0.0,steady
8,14.514,4,2924.4,4.0,1489755,2.4932,4780.3,17.62,0,0.0,steady
9,19.717,4,2924.4,4.0,1655570,5.2028,2545.7,16.41,0,0.0,steady
10,21.169,3,1465.2,4.0,867957,1.4518,4782.9,18.96,0,0.0,switch
11,22.895,4,2924.4,4.0,1030878,1.7254,4779.7,21.24,0,0.0,switch
12,25.056,4,2924.4,4.0,1291502,2.1614,4780.2,23.08,0,0.0,steady
13,27.629,4,2924.4,4.0,1537016,2.5727,4779.5,24.5,0,0.0,steady
14,30.949,4,2924.4,4.0,1623114,2.7178,4777.8,25.18,0,0.0,steady
15,54.072,4,2924.4,4.0,1928282,3.2306,4775.1,6.06,0,0.0,steady
16,55.286,4,2924.4,4.0,723959,1.2141,4770.2,8.85,0,0.0,steady
17,57.663,4,2924.4,4.0,1419382,2.377,4777.0,10.47,0,0.0,steady
18,60.88,4,2924.4,4.0,1920802,3.2159,4778.2,11.25,0,0.0,steady
19,63.171,4,2924.4,4.0,1367677,2.2913,4775.1,12.96,0,0.0,steady
20,65.878,4,2924.4,4.0,1610274,2.7064,4760.0,14.25,0,0.0,steady
21,70.261,4,2924.4,4.0,1634038,4.3826,2982.7,13.87,0,0.0,steady
22,71.348,3,1465.2,4.0,648712,1.0875,4772.0,16.78,0,0.0,switch
23,72.6,4,2924.4,4.0,746363,1.2513,4771.8,19.53,0,0.0,switch
24,75.287,4,2924.4,4.0,1604801,2.687,4777.9,20.85,0,0.0,steady
25,76.759,4,2924.4,4.0,878550,1.4718,4775.3,23.37,0,0.0,steady
26,78.959,4,2924.4,4.0,1313599,2.1999,4776.9,25.17,0,0.0,steady
27,82.876,4,2924.4,4.0,1620229,2.7143,4775.4,25.26,0,0.0,steady
