seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.131,1,295.0,4.0,77930,0.1267,4922.1,4.0,0,0.0,steady
2,0.452,1,295.0,4.0,190947,0.3208,4762.5,7.68,0,0.0,steady
3,2.863,4,2924.4,4.0,1440488,2.411,4779.8,9.27,0,0.0,switch
4,5.476,4,2924.4,4.0,1560430,2.6123,4778.6,10.66,0,0.0,steady
5,8.215,4,2924.4,4.0,1637070,2.7392,4781.2,11.92,0,0.0,steady
6,9.911,4,2924.4,4.0,1013753,1.695,4784.6,14.22,0,0.0,steady
7,12.02,4,2924.4,4.0,1260231,2.1095,4779.2,16.11,0,0.0,steady
8,17.113,4,2924.4,4.0,1489755,5.0926,2340.3,15.02,0,0.0,steady
9,18.492,3,1465.2,4.0,824245,1.379,4781.7,17.64,0,0.0,switch
10,21.36,4,2924.4,4.0,1713066,2.8679,4778.5,18.77,0,0.0,switch
11,23.085,4,2924.4,4.0,1030878,1.7246,4782.0,21.05,0,0.0,steady
12,25.247,4,2924.4,4.0,1291502,2.1614,4780.2,22.88,0,0.0,steady
13,27.864,4,2924.4,4.0,1537016,2.6176,4697.4,24.27,0,0.0,steady
14,48.182,4,2924.4,4.0,1623114,2.7192,4775.4,7.95,0,0.0,steady
15,51.412,4,2924.4,4.0,1928282,3.23,4776.0,8.72,0,0.0,steady
16,52.625,4,2924.4,4.0,723959,1.2125,4776.5,11.51,0,0.0,steady
17,55.002,4,2924.4,4.0,1419382,2.3767,4777.6,13.13,0,0.0,steady
18,60.727,4,2924.4,4.0,1920802,5.725,2684.1,11.4,0,0.0,steady
19,62.013,3,1465.2,4.0,696701,1.2852,4336.7,14.12,0,0.0,switch
20,64.71,4,2924.4,4.0,1610274,2.6969,4776.6,15.42,0,0.0,switch
21,67.446,4,2924.4,4.0,1634038,2.7362,4777.5,16.69,0,0.0,steady
22,69.697,4,2924.4,4.0,1343919,2.2509,4776.6,18.43,0,0.0,steady
23,70.948,4,2924.4,4.0,746363,1.2512,4772.2,21.18,0,0.0,steady
