t_epoch,event_type,ap,url,position_s,detail
1783941350.881,STARTUP_BUFFERING_START,1,http://10.0.0.100:8081/Video.mp4,-1.000,pct=0.0
1783941355.017,PLAYING,1,http://10.0.0.100:8081/Video.mp4,-1.000,
1783941365.715,STARTUP_BUFFERING_END,1,http://10.0.0.100:8081/Video.mp4,-1.000,pct=100
1783941379.916,HANDOVER_RELOAD_START,1,http://10.0.0.100:8081/Video.mp4,14.150,from_ap=1 to_ap=2
1783941380.893,HANDOVER_RELOAD_SEEK_OK,2,http://10.0.0.100:8082/Video.mp4,14.150,
1783941380.696,PLAYING,2,http://10.0.0.100:8082/Video.mp4,14.150,
1783941389.181,STALL_START,2,http://10.0.0.100:8082/Video.mp4,14.150,pct=8.3
1783941398.532,STALL_END,2,http://10.0.0.100:8082/Video.mp4,14.150,duration_s=9.35
1783941403.315,HANDOVER_RELOAD_START,2,http://10.0.0.100:8082/Video.mp4,18.583,from_ap=2 to_ap=3
1783941404.286,HANDOVER_RELOAD_SEEK_OK,3,http://10.0.0.100:8083/Video.mp4,18.583,
1783941404.102,PLAYING,3,http://10.0.0.100:8083/Video.mp4,18.583,
1783941412.287,STALL_START,3,http://10.0.0.100:8083/Video.mp4,18.583,pct=8.3
1783941425.307,HANDOVER_RELOAD_START,3,http://10.0.0.100:8083/Video.mp4,18.583,from_ap=3 to_ap=4
1783941426.281,HANDOVER_RELOAD_SEEK_OK,4,http://10.0.0.100:8084/Video.mp4,18.583,
1783941426.075,PLAYING,4,http://10.0.0.100:8084/Video.mp4,18.583,
