t,x,dist,ap,rssi,rssi_src,bw_mbps,cache,latency_s,speed_bps,loss_pct,stall,vlc_buffer_pct,vlc_cum_stall_s,handover,vehicle_speed_kmh,outage,cum_outage_s
0.0,-300.0,300.0,ap1,-76.00,live,0.500,HIT,2.7008,194122,0.000,0,0.0,0.000,0,80,0,0.000
2.8,-238.4,238.4,ap1,-74.00,live,2.000,HIT,0.4420,1186215,0.000,0,0.0,0.000,0,80,0,0.000
3.3,-227.0,227.0,ap1,-73.00,live,2.000,HIT,0.6699,782628,0.000,0,0.0,0.000,0,80,0,0.000
4.0,-210.5,210.5,ap1,-73.00,live,2.000,HIT,1.2947,404936,0.000,0,0.0,0.000,0,80,0,0.000
5.4,-180.4,180.4,ap1,-71.00,live,5.000,HIT,0.3651,1435996,0.000,0,0.0,0.000,0,80,0,0.000
5.9,-169.3,169.3,ap1,-71.00,live,5.000,HIT,0.5110,1025934,0.000,0,0.0,0.000,0,80,0,0.000
6.5,-156.2,156.2,ap1,-70.00,live,5.000,HIT,0.6259,837652,0.000,0,0.0,0.000,0,80,0,0.000
7.2,-140.7,140.7,ap1,-69.00,live,5.000,HIT,0.3242,1616950,0.000,0,0.0,0.000,0,80,0,0.000
7.7,-129.6,129.6,ap1,-69.00,live,5.000,HIT,0.3400,1542019,0.000,0,0.0,0.000,0,80,0,0.000
8.2,-118.5,118.5,ap1,-68.00,live,5.000,HIT,0.5048,1038607,0.000,0,0.0,0.000,0,80,0,0.000
8.7,-105.7,105.7,ap1,-67.00,live,5.000,HIT,0.3995,1312518,0.000,0,0.0,0.000,0,80,0,0.000
9.2,-95.2,95.2,ap1,-66.00,live,5.000,HIT,0.4905,1068965,0.000,0,0.0,0.000,0,80,0,0.000
9.8,-82.7,82.7,ap1,-65.00,live,8.000,HIT,0.3161,1658767,0.000,0,0.0,0.000,0,80,0,0.000
10.3,-71.6,71.6,ap1,-64.00,live,8.000,HIT,0.2877,1822355,0.000,0,0.0,0.000,0,80,0,0.000
10.8,-60.5,60.5,ap1,-62.00,live,8.000,HIT,0.3640,1440253,0.000,0,0.0,0.000,0,80,0,0.000
11.3,-49.4,49.4,ap1,-61.00,live,8.000,HIT,0.3841,1365006,0.000,0,0.0,0.000,0,80,0,0.000
11.7,-39.2,39.2,ap1,-59.00,live,10.000,HIT,0.2919,1796030,0.000,0,0.0,0.000,0,80,0,0.000
12.2,-28.1,28.1,ap1,-56.00,live,10.000,HIT,0.2354,2227335,0.000,0,0.0,0.000,0,80,0,0.000
12.7,-17.0,17.0,ap1,-52.00,live,10.000,HIT,0.2916,1797908,0.000,0,0.0,0.000,0,80,0,0.000
13.2,-5.9,5.9,ap1,-43.00,live,10.000,HIT,0.2862,1831727,0.000,0,0.0,0.000,0,80,0,0.000
13.7,5.2,5.2,ap1,-42.00,live,10.000,HIT,0.2150,2438061,0.000,0,0.0,0.000,0,80,0,0.000
14.2,16.3,16.3,ap1,-52.00,live,10.000,HIT,0.2323,2256672,0.000,0,0.0,0.000,0,80,0,0.000
14.7,27.4,27.4,ap1,-56.00,live,10.000,HIT,0.3231,1622505,0.000,0,100.0,0.000,0,80,0,0.000
15.2,38.6,38.6,ap1,-59.00,live,10.000,HIT,0.2401,2183860,0.000,0,100.0,0.000,0,80,0,0.000
15.7,49.7,49.7,ap1,-61.00,live,10.000,HIT,0.2841,1845721,0.000,0,100.0,0.000,0,80,0,0.000
16.2,60.8,60.8,ap1,-62.00,live,10.000,HIT,0.2423,2164208,0.000,0,100.0,0.000,0,80,0,0.000
16.7,71.9,71.9,ap1,-64.00,live,8.000,HIT,0.3205,1635824,0.000,0,100.0,0.000,0,80,0,0.000
17.2,83.0,83.0,ap1,-65.00,live,8.000,HIT,0.4246,1234749,0.000,0,100.0,0.000,0,80,0,0.000
17.7,94.1,94.1,ap1,-66.00,live,8.000,HIT,0.4347,1206086,0.000,0,100.0,0.000,0,80,0,0.000
18.2,105.3,105.3,ap1,-67.00,live,8.000,HIT,0.3806,1377657,0.000,0,100.0,0.000,0,80,0,0.000
18.7,116.4,116.4,ap1,-68.00,live,8.000,HIT,0.3630,1444212,0.000,0,100.0,0.000,0,80,0,0.000
19.2,127.6,127.6,ap1,-69.00,live,5.000,HIT,0.8648,606249,0.000,0,100.0,0.000,0,80,0,0.000
20.2,148.4,148.4,ap1,-70.00,live,5.000,HIT,0.8171,641679,0.000,0,100.0,0.000,0,80,0,0.000
21.1,168.2,168.2,ap1,-71.00,live,5.000,HIT,0.5268,995320,0.000,0,100.0,0.000,0,80,0,0.000
21.7,181.4,181.4,ap1,-72.00,live,5.000,HIT,0.6916,758096,0.000,0,100.0,0.000,0,80,0,0.000
22.4,198.3,198.3,ap1,-72.00,live,5.000,HIT,0.7318,716481,0.000,0,100.0,0.000,0,80,0,0.000
23.2,216.1,216.1,ap1,-73.00,live,5.000,HIT,0.5367,976955,0.000,0,100.0,0.000,0,80,0,0.000
23.8,229.6,229.6,ap1,-73.00,live,5.000,HIT,0.5974,877677,0.000,0,100.0,0.000,0,80,0,0.000
24.5,244.5,244.5,ap1,-74.00,live,5.000,HIT,0.5354,979315,0.000,0,100.0,0.000,0,80,0,0.000
25.1,258.1,241.9,ap2,-74.00,live,5.000,HIT,0.2528,2074269,20.779,0,100.0,0.000,1,80,0,0.000
29.0,345.2,154.8,ap2,-70.00,live,5.000,HIT,0.3180,1648922,0.000,0,100.0,0.000,0,80,0,0.000
29.5,356.3,143.7,ap2,-70.00,live,5.000,HIT,0.9459,554269,0.000,0,0.0,0.000,0,80,0,0.000
30.5,378.9,121.1,ap2,-68.00,live,5.000,HIT,0.9579,547327,0.000,0,0.0,0.000,0,80,0,0.000
31.6,401.8,98.2,ap2,-67.00,live,5.000,HIT,0.8779,597233,0.000,0,0.0,0.000,0,80,0,0.000
32.5,422.9,77.1,ap2,-65.00,live,8.000,HIT,0.2536,2067569,0.000,0,0.0,0.000,0,80,0,0.000
33.0,434.0,66.0,ap2,-63.00,live,8.000,HIT,0.3487,1503675,0.000,0,0.0,0.000,0,80,0,0.000
33.5,445.1,54.9,ap2,-62.00,live,8.000,HIT,0.3264,1606161,0.000,0,0.0,0.000,0,80,0,0.000
34.0,456.2,43.8,ap2,-60.00,live,8.000,HIT,0.3083,1700533,0.000,0,0.0,0.000,0,80,0,0.000
34.5,467.4,32.6,ap2,-57.00,live,10.000,HIT,0.2310,2269871,0.000,0,0.0,0.000,0,80,0,0.000
35.0,478.5,21.5,ap2,-54.00,live,10.000,HIT,0.3251,1612901,0.000,0,0.0,0.000,0,80,0,0.000
35.5,489.6,10.4,ap2,-48.00,live,10.000,HIT,0.2937,1785102,0.000,0,0.0,0.000,0,80,0,0.000
36.0,500.7,0.7,ap2,-26.00,live,10.000,HIT,0.2460,2130854,0.000,0,0.0,0.000,0,80,0,0.000
36.5,511.8,11.8,ap2,-49.00,live,10.000,HIT,0.2436,2152303,0.000,0,0.0,0.000,0,80,0,0.000
37.0,522.9,22.9,ap2,-55.00,live,10.000,HIT,0.2083,2516671,0.000,0,0.0,0.000,0,80,0,0.000
37.5,534.0,34.0,ap2,-58.00,live,10.000,HIT,0.2691,1948106,0.000,0,0.0,0.000,0,80,0,0.000
38.0,545.2,45.2,ap2,-60.00,live,10.000,HIT,0.2833,1850947,0.000,0,0.0,0.000,0,80,0,0.000
38.5,556.3,56.3,ap2,-62.00,live,10.000,HIT,0.2333,2246798,0.000,0,0.0,0.000,0,80,0,0.000
39.0,567.4,67.4,ap2,-63.00,live,8.000,HIT,0.4408,1189398,0.000,1,0.0,0.921,0,80,0,0.000
39.5,578.8,78.8,ap2,-65.00,live,8.000,HIT,0.7799,672224,0.000,1,0.0,1.922,0,80,0,0.000
40.4,597.7,97.7,ap2,-66.00,live,8.000,HIT,0.3215,1630898,0.000,1,0.0,1.922,0,80,0,0.000
40.9,608.8,108.8,ap2,-67.00,live,8.000,HIT,0.2266,2313501,0.000,1,0.0,2.922,0,80,0,0.000
41.4,620.0,120.0,ap2,-68.00,live,8.000,HIT,0.2552,2054662,0.000,1,0.0,2.922,0,80,0,0.000
41.9,631.1,131.1,ap2,-69.00,live,5.000,HIT,1.0003,524130,0.000,1,0.0,4.924,0,80,0,0.000
43.0,654.9,154.9,ap2,-70.00,live,5.000,HIT,0.9185,570821,0.000,1,0.0,4.924,0,80,0,0.000
44.0,676.9,176.9,ap2,-71.00,live,5.000,HIT,1.0245,511737,0.000,1,0.0,6.926,0,80,0,0.000
45.1,701.3,201.3,ap2,-72.00,live,5.000,HIT,0.9935,527707,0.000,1,0.0,7.927,0,80,0,0.000
46.1,724.9,224.9,ap2,-73.00,live,5.000,HIT,0.9896,529813,0.000,1,0.0,8.928,0,80,0,0.000
47.2,748.6,248.6,ap2,-74.00,live,5.000,HIT,1.0558,496581,0.000,0,100.0,9.351,0,80,0,0.000
48.3,773.6,226.4,ap3,-74.00,live,5.000,HIT,0.4097,1279638,20.988,0,100.0,9.351,1,80,0,0.000
52.4,864.9,135.1,ap3,-69.00,live,5.000,HIT,0.4703,1114707,0.000,0,100.0,9.351,0,80,0,0.000
53.0,876.9,123.1,ap3,-68.00,live,5.000,HIT,0.9629,544471,0.000,0,0.0,9.351,0,80,0,0.000
54.0,899.9,100.1,ap3,-67.00,live,5.000,HIT,0.5062,1035721,0.000,0,0.0,9.351,0,80,0,0.000
54.6,912.7,87.3,ap3,-66.00,live,5.000,HIT,1.0950,478794,0.000,0,0.0,9.351,0,80,0,0.000
55.7,938.6,61.4,ap3,-63.00,live,8.000,HIT,0.2862,1831631,0.000,0,0.0,9.351,0,80,0,0.000
56.2,949.8,50.2,ap3,-61.00,live,8.000,HIT,0.3320,1578976,0.000,0,0.0,9.351,0,80,0,0.000
56.7,960.9,39.1,ap3,-59.00,live,10.000,HIT,0.2337,2243682,0.000,0,0.0,9.351,0,80,0,0.000
57.2,972.0,28.0,ap3,-56.00,live,10.000,HIT,0.2597,2018899,0.000,0,0.0,9.351,0,80,0,0.000
57.7,983.1,16.9,ap3,-52.00,live,10.000,HIT,0.2233,2347730,0.000,0,0.0,9.351,0,80,0,0.000
58.2,994.2,5.8,ap3,-43.00,live,10.000,HIT,0.2205,2377864,0.000,0,0.0,9.351,0,80,0,0.000
58.7,1005.3,5.3,ap3,-43.00,live,10.000,HIT,0.2157,2430545,0.000,0,0.0,9.351,0,80,0,0.000
59.2,1016.4,16.4,ap3,-52.00,live,10.000,HIT,0.2317,2262339,0.000,0,0.0,9.351,0,80,0,0.000
59.7,1027.5,27.5,ap3,-56.00,live,10.000,HIT,0.2058,2548081,0.000,0,0.0,9.351,0,80,0,0.000
60.2,1038.7,38.7,ap3,-59.00,live,10.000,HIT,0.2300,2279394,0.000,0,0.0,9.351,0,80,0,0.000
60.7,1049.8,49.8,ap3,-61.00,live,10.000,HIT,0.2410,2175848,0.000,0,0.0,9.351,0,80,0,0.000
61.2,1060.9,60.9,ap3,-63.00,live,8.000,HIT,0.2377,2206126,0.000,1,0.0,9.357,0,80,0,0.000
61.7,1072.0,72.0,ap3,-64.00,live,8.000,HIT,0.2607,2011425,0.000,1,0.0,9.357,0,80,0,0.000
62.2,1083.1,83.1,ap3,-65.00,live,8.000,HIT,0.2996,1749843,0.000,1,0.0,10.358,0,80,0,0.000
62.7,1094.2,94.2,ap3,-66.00,live,8.000,HIT,0.2791,1878468,0.000,1,0.0,10.358,0,80,0,0.000
63.2,1105.4,105.4,ap3,-67.00,live,8.000,HIT,0.4086,1283076,0.000,1,0.0,11.359,0,80,0,0.000
63.7,1115.9,115.9,ap3,-68.00,live,8.000,HIT,0.3081,1701411,0.000,1,0.0,11.359,0,80,0,0.000
64.2,1127.0,127.0,ap3,-69.00,live,5.000,HIT,0.5843,897314,0.000,1,0.0,12.360,0,80,0,0.000
64.9,1141.6,141.6,ap3,-70.00,live,5.000,HIT,0.5069,1034215,0.000,1,0.0,13.361,0,80,0,0.000
65.5,1154.5,154.5,ap3,-70.00,live,5.000,HIT,0.7482,700717,0.000,1,0.0,14.362,0,80,0,0.000
66.3,1172.8,172.8,ap3,-71.00,live,5.000,HIT,0.5041,1040062,0.000,1,0.0,14.362,0,80,0,0.000
66.9,1185.6,185.6,ap3,-72.00,live,5.000,HIT,0.4950,1059234,0.000,1,0.0,15.363,0,80,0,0.000
67.4,1198.2,198.2,ap3,-72.00,live,5.000,HIT,0.7444,704314,0.000,1,0.0,16.364,0,80,0,0.000
68.2,1216.3,216.3,ap3,-73.00,live,5.000,HIT,0.5153,1017355,0.000,1,0.0,16.364,0,80,0,0.000
68.8,1229.4,229.4,ap3,-74.00,live,5.000,HIT,0.7254,722742,0.000,1,0.0,17.365,0,80,0,0.000
69.6,1247.1,247.1,ap3,-74.00,live,5.000,HIT,0.7502,698827,0.000,1,0.0,18.366,0,80,0,0.000
70.4,1265.5,234.5,ap4,-74.00,live,5.000,HIT,0.2127,2465451,22.078,1,0.0,22.394,1,80,0,0.000
74.4,1352.6,147.4,ap4,-70.00,live,5.000,HIT,0.3587,1461670,0.000,1,0.0,22.394,0,80,0,0.000
74.9,1363.7,136.3,ap4,-69.00,live,5.000,HIT,0.0957,5477881,0.000,1,0.0,22.394,0,80,0,0.000
75.4,1374.8,125.2,ap4,-68.00,live,5.000,HIT,0.2907,1803654,0.000,1,0.0,23.545,0,80,0,0.000
75.9,1386.0,114.0,ap4,-68.00,live,5.000,HIT,0.3532,1484457,0.000,1,0.0,23.545,0,80,0,0.000
76.4,1397.1,102.9,ap4,-67.00,live,5.000,HIT,0.3403,1540610,0.000,1,0.0,24.546,0,80,0,0.000
76.9,1408.2,91.8,ap4,-66.00,live,5.000,HIT,0.4326,1211809,0.000,1,0.0,25.548,0,80,0,0.000
77.4,1419.4,80.6,ap4,-65.00,live,8.000,HIT,0.2599,2017579,0.000,1,0.0,25.548,0,80,0,0.000
77.9,1430.5,69.5,ap4,-64.00,live,8.000,HIT,0.2945,1780277,0.000,1,0.0,25.548,0,80,0,0.000
78.4,1441.6,58.4,ap4,-62.00,live,8.000,HIT,0.2815,1862619,0.000,1,0.0,26.549,0,80,0,0.000
78.9,1452.7,47.3,ap4,-60.00,live,8.000,HIT,0.3676,1426223,0.000,1,0.0,26.549,0,80,0,0.000
79.4,1463.8,36.2,ap4,-58.00,live,10.000,HIT,0.2495,2101767,0.000,1,0.0,27.550,0,80,0,0.000
79.9,1475.0,25.0,ap4,-55.00,live,10.000,HIT,0.2239,2341470,0.000,1,0.0,27.550,0,80,0,0.000
80.4,1486.1,13.9,ap4,-50.00,live,10.000,HIT,0.2858,1834458,0.000,1,0.0,28.551,0,80,0,0.000
80.9,1497.2,2.8,ap4,-37.00,live,10.000,HIT,0.2999,1747994,0.000,1,0.0,28.551,0,80,0,0.000
81.4,1508.3,8.3,ap4,-46.00,live,10.000,HIT,0.2938,1784342,0.000,1,0.0,29.552,0,80,0,0.000
81.9,1519.4,19.4,ap4,-53.00,live,10.000,HIT,0.2436,2152568,0.000,1,0.0,29.552,0,80,0,0.000
82.4,1530.5,30.5,ap4,-57.00,live,10.000,HIT,0.2797,1874620,0.000,1,0.0,30.552,0,80,0,0.000
82.9,1541.6,41.6,ap4,-59.00,live,10.000,HIT,0.2681,1955591,0.000,1,0.0,30.552,0,80,0,0.000
83.4,1552.8,52.8,ap4,-61.00,live,10.000,HIT,0.2873,1825058,0.000,1,0.0,31.553,0,80,0,0.000
83.9,1563.9,63.9,ap4,-63.00,live,8.000,HIT,0.3413,1536114,0.000,1,0.0,31.553,0,80,0,0.000
84.4,1575.0,75.0,ap4,-64.00,live,8.000,HIT,0.4294,1221075,0.000,1,0.0,32.554,0,80,0,0.000
84.9,1586.2,86.2,ap4,-65.00,live,8.000,HIT,0.3296,1590858,0.000,1,0.0,32.554,0,80,0,0.000
85.4,1597.3,97.3,ap4,-66.00,live,8.000,HIT,0.3519,1489857,0.000,1,0.0,33.555,0,80,0,0.000
85.9,1608.4,108.4,ap4,-67.00,live,8.000,HIT,0.4397,1192306,0.000,1,0.0,34.556,0,80,0,0.000
86.4,1619.7,119.7,ap4,-68.00,live,8.000,HIT,0.3400,1542078,0.000,1,0.0,34.556,0,80,0,0.000
86.9,1630.9,130.9,ap4,-69.00,live,5.000,HIT,0.8188,640348,0.000,1,0.0,35.557,0,80,0,0.000
87.8,1650.7,150.7,ap4,-70.00,live,5.000,HIT,0.8639,606893,0.000,1,0.0,36.558,0,80,0,0.000
88.7,1671.5,171.5,ap4,-71.00,live,5.000,HIT,0.5946,881734,0.000,1,0.0,37.559,0,80,0,0.000
89.4,1686.4,186.4,ap4,-72.00,live,5.000,HIT,0.9169,571776,0.000,1,0.0,38.560,0,80,0,0.000
90.4,1708.4,208.4,ap4,-73.00,live,5.000,HIT,0.8511,615988,0.000,1,0.0,38.560,0,80,0,0.000
91.3,1728.9,228.9,ap4,-73.00,live,5.000,HIT,0.7360,712318,0.000,1,0.0,39.561,0,80,0,0.000
92.1,1746.9,246.9,ap4,-74.00,live,5.000,HIT,0.6002,873454,0.000,1,0.0,40.562,0,80,0,0.000
92.8,1761.8,261.8,ap4,-75.00,live,2.000,HIT,1.4664,357535,0.000,1,0.0,41.563,0,80,0,0.000
94.3,1796.0,296.0,ap4,-76.00,live,2.000,HIT,1.2921,405750,0.000,1,0.0,43.565,0,80,0,0.000
