seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.084,1,295.0,4.0,77930,0.08,7791.5,4.0,0,0.0,steady
2,0.284,1,295.0,4.0,190947,0.1999,7640.4,7.8,0,0.0,steady
3,3.409,5,5818.1,4.0,2986462,3.1241,7647.6,8.68,0,0.0,switch
4,6.766,5,5818.1,4.0,3208756,3.357,7646.7,9.32,0,0.0,steady
5,9.98,5,5818.1,4.0,3073850,3.2134,7652.6,10.1,0,0.0,steady
6,12.074,5,5818.1,4.0,2001339,2.094,7645.9,12.01,0,0.0,steady
7,16.325,5,5818.1,4.0,2522294,4.2501,4747.8,11.76,0,0.0,steady
8,17.887,4,2924.4,4.0,1489755,1.5618,7631.1,14.2,0,0.0,switch
9,21.276,5,5818.1,4.0,3235440,3.3881,7639.6,14.81,0,0.0,switch
10,24.801,5,5818.1,4.0,3365562,3.5244,7639.5,15.28,0,0.0,steady
11,27.182,5,5818.1,4.0,2275093,2.381,7644.2,16.9,0,0.0,steady
12,48.191,5,5818.1,4.0,2605054,2.7299,7634.0,4.0,1,4.107,steady
13,48.325,1,295.0,4.0,124544,0.1343,7421.0,7.87,1,0.0,switch
14,51.701,5,5818.1,4.0,3222204,3.3746,7638.7,8.49,1,0.0,switch
15,55.441,5,5818.1,4.0,3571798,3.7401,7640.0,8.75,1,0.0,steady
16,57.275,5,5818.1,4.0,1735349,1.8337,7570.9,10.92,1,0.0,steady
17,62.261,5,5818.1,4.0,3176389,4.9856,5096.9,9.93,1,0.0,steady
18,64.275,4,2924.4,4.0,1920802,2.0141,7629.2,11.92,1,0.0,switch
19,67.107,5,5818.1,4.0,2702943,2.8312,7637.7,13.08,1,0.0,switch
20,70.306,5,5818.1,4.0,3054691,3.1986,7640.0,13.89,1,0.0,steady
