t,x,dist,rsu,rssi,rssi_src,bw_mbps,quality,quality_idx,seg,loss,stall,buffer_s,handover,vehicle_speed_kmh,outage,cum_outage_s
0.0,-300.0,300.0,1,-76.00,live,0.500,360p,0,5,0.000,0,20.0,0,100.0,0,0.000
0.5,-286.1,286.1,1,-75.00,live,0.500,360p,0,5,0.000,0,19.5,0,100.0,0,0.000
1.0,-272.2,272.2,1,-75.00,live,0.500,360p,0,5,0.000,0,19.0,0,100.0,0,0.000
1.5,-258.3,258.3,1,-74.00,live,2.000,360p,0,5,0.000,0,18.5,0,100.0,0,0.000
2.0,-244.4,244.4,1,-74.00,live,2.000,360p,0,5,0.000,0,18.0,0,100.0,0,0.000
2.5,-230.5,230.5,1,-73.00,live,2.000,360p,0,5,0.000,0,17.5,0,100.0,0,0.000
3.0,-216.7,216.7,1,-73.00,live,2.000,360p,0,6,0.000,0,21.0,0,100.0,0,0.000
3.5,-202.8,202.8,1,-72.00,live,2.000,360p,0,6,0.000,0,20.5,0,100.0,0,0.000
4.0,-188.9,188.9,1,-72.00,live,2.000,360p,0,7,0.000,0,24.0,0,100.0,0,0.000
4.5,-175.0,175.0,1,-71.00,live,5.000,360p,0,7,0.000,0,23.5,0,100.0,0,0.000
5.0,-161.1,161.1,1,-71.00,live,5.000,360p,0,8,0.000,0,27.0,0,100.0,0,0.000
5.5,-147.2,147.2,1,-70.00,live,5.000,360p,0,8,0.000,0,26.5,0,100.0,0,0.000
6.0,-133.3,133.3,1,-69.00,live,5.000,720p,1,9,0.000,0,29.5,0,100.0,0,0.000
6.5,-119.4,119.4,1,-68.00,live,5.000,720p,1,9,0.000,0,29.0,0,100.0,0,0.000
7.0,-105.5,105.5,1,-67.00,live,5.000,720p,1,9,0.000,0,28.5,0,100.0,0,0.000
7.5,-91.6,91.6,1,-66.00,live,5.000,720p,1,9,0.000,0,28.0,0,100.0,0,0.000
8.0,-77.7,77.7,1,-65.00,live,8.000,720p,1,9,0.000,0,27.5,0,100.0,0,0.000
8.5,-63.9,63.9,1,-63.00,live,8.000,720p,1,10,0.000,0,29.5,0,100.0,0,0.000
9.0,-50.0,50.0,1,-61.00,live,8.000,720p,1,10,0.000,0,29.0,0,100.0,0,0.000
9.5,-36.1,36.1,1,-58.00,live,10.000,1080p,2,11,0.000,0,29.5,0,100.0,0,0.000
10.0,-22.2,22.2,1,-54.00,live,10.000,1080p,2,11,0.000,0,29.0,0,100.0,0,0.000
10.5,-8.3,8.3,1,-46.00,live,10.000,1080p,2,11,0.000,0,28.5,0,100.0,0,0.000
11.0,5.6,5.6,1,-43.00,live,10.000,1080p,2,11,0.000,0,28.0,0,100.0,0,0.000
11.5,19.5,19.5,1,-53.00,live,10.000,1080p,2,12,10.000,0,29.5,0,100.0,0,0.000
