seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.084,1,295.0,4.0,77930,0.0804,7758.0,4.0,0,0.0,steady
2,0.285,1,295.0,4.0,190947,0.2003,7628.0,7.8,0,0.0,steady
3,3.409,5,5818.1,4.0,2986462,3.1237,7648.4,8.68,0,0.0,switch
4,6.767,5,5818.1,4.0,3208756,3.3578,7645.0,9.32,0,0.0,steady
5,9.982,5,5818.1,4.0,3073850,3.2136,7652.1,10.1,0,0.0,steady
6,12.075,5,5818.1,4.0,2001339,2.0933,7648.4,12.01,0,0.0,steady
7,14.712,5,5818.1,4.0,2522294,2.6365,7653.6,13.37,0,0.0,steady
8,17.541,5,5818.1,4.0,2704846,2.8286,7650.0,14.54,0,0.0,steady
9,22.607,5,5818.1,4.0,3235440,5.0656,5109.7,13.48,0,0.0,steady
10,24.402,4,2924.4,4.0,1713066,1.7941,7638.9,15.68,0,0.0,switch
11,26.783,5,5818.1,4.0,2275093,2.3813,7643.3,17.3,0,0.0,switch
12,29.511,5,5818.1,4.0,2605054,2.727,7642.2,18.57,0,0.0,steady
13,32.651,5,5818.1,4.0,2999223,3.1392,7643.2,19.43,0,0.0,steady
14,36.023,5,5818.1,4.0,3222204,3.3721,7644.5,20.06,0,0.0,steady
15,39.822,5,5818.1,4.0,3571798,3.7978,7524.0,20.26,0,0.0,steady
16,41.64,5,5818.1,4.0,1735349,1.8178,7637.2,22.44,0,0.0,steady
17,59.815,5,5818.1,4.0,3176389,18.1746,1398.2,8.27,0,0.0,steady
18,60.297,2,685.0,4.0,456690,0.4816,7586.3,11.79,0,0.0,switch
19,63.127,5,5818.1,4.0,2702943,2.8304,7639.8,12.96,0,0.0,switch
20,66.326,5,5818.1,4.0,3054691,3.1983,7640.9,13.76,0,0.0,steady
21,69.902,5,5818.1,4.0,3415444,3.5757,7641.5,14.18,0,0.0,steady
22,72.771,5,5818.1,4.0,2740303,2.8692,7640.5,15.31,0,0.0,steady
23,74.316,5,5818.1,4.0,1473621,1.5447,7631.7,17.77,0,0.0,steady
24,77.592,5,5818.1,4.0,3098959,3.2758,7568.1,18.49,0,0.0,steady
25,81.214,5,5818.1,4.0,1868801,3.6217,4128.0,18.87,0,0.0,steady
26,82.591,4,2924.4,4.0,1313599,1.3777,7628.0,21.49,0,0.0,switch
27,85.832,5,5818.1,4.0,3095584,3.2409,7641.3,22.25,0,0.0,switch
28,89.668,5,5818.1,4.0,3663678,3.8351,7642.5,22.42,0,0.0,steady
29,92.99,5,5818.1,4.0,3173531,3.3226,7641.0,23.09,0,0.0,steady
30,96.312,5,5818.1,4.0,3172071,3.3211,7641.0,23.77,0,0.0,steady
31,99.982,5,5818.1,4.0,3505634,3.6699,7641.9,24.1,0,0.0,steady
32,118.172,5,5818.1,4.0,3329855,17.9894,1480.8,9.91,0,0.0,steady
