seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.131,1,295.0,4.0,77930,0.1268,4917.2,4.0,0,0.0,steady
2,0.452,1,295.0,4.0,190947,0.3205,4766.6,7.68,0,0.0,steady
3,2.863,4,2924.4,4.0,1440488,2.4113,4779.1,9.27,0,0.0,switch
4,5.476,4,2924.4,4.0,1560430,2.6122,4778.9,10.66,0,0.0,steady
5,8.215,4,2924.4,4.0,1637070,2.7389,4781.8,11.92,0,0.0,steady
6,9.91,4,2924.4,4.0,1013753,1.695,4784.7,14.22,0,0.0,steady
7,12.02,4,2924.4,4.0,1260231,2.1102,4777.6,16.11,0,0.0,steady
8,14.513,4,2924.4,4.0,1489755,2.4928,4780.9,17.62,0,0.0,steady
9,19.715,4,2924.4,4.0,1655570,5.2013,2546.4,16.42,0,0.0,steady
10,21.167,3,1465.2,4.0,867957,1.452,4782.3,18.96,0,0.0,switch
11,22.893,4,2924.4,4.0,1030878,1.7254,4779.7,21.24,0,0.0,switch
12,25.054,4,2924.4,4.0,1291502,2.1613,4780.5,23.08,0,0.0,steady
13,27.626,4,2924.4,4.0,1537016,2.5722,4780.4,24.5,0,0.0,steady
14,30.946,4,2924.4,4.0,1623114,2.7171,4779.0,25.19,0,0.0,steady
15,35.402,4,2924.4,4.0,1928282,3.2533,4741.8,24.73,0,0.0,steady
16,51.474,4,2924.4,4.0,723959,15.2697,379.3,12.66,0,0.0,steady
17,51.671,1,295.0,4.0,116498,0.197,4732.0,16.46,0,0.0,switch
18,54.888,4,2924.4,4.0,1920802,3.2165,4777.3,17.24,0,0.0,switch
19,57.179,4,2924.4,4.0,1367677,2.2907,4776.4,18.95,0,0.0,steady
20,59.876,4,2924.4,4.0,1610274,2.6963,4777.8,20.26,0,0.0,steady
21,62.611,4,2924.4,4.0,1634038,2.7353,4779.1,21.52,0,0.0,steady
22,64.864,4,2924.4,4.0,1343919,2.2532,4771.6,23.27,0,0.0,steady
23,66.126,4,2924.4,4.0,746363,1.2613,4734.0,26.01,0,0.0,steady
24,71.736,4,2924.4,4.0,1604801,3.6042,3562.1,24.4,0,0.0,steady
25,73.61,4,2924.4,4.0,878550,1.4732,4770.8,26.52,0,0.0,steady
26,78.42,4,2924.4,4.0,1313599,2.2014,4773.8,25.71,0,0.0,steady
27,82.94,4,2924.4,4.0,1620229,2.7144,4775.2,25.19,0,0.0,steady
