t_epoch,event_type,ap,url,position_s,detail
1783941618.355,STARTUP_BUFFERING_START,1,http://10.0.0.100:8081/Video.mp4,-1.000,pct=0.0
1783941622.428,PLAYING,1,http://10.0.0.100:8081/Video.mp4,-1.000,
1783941631.391,STARTUP_BUFFERING_END,1,http://10.0.0.100:8081/Video.mp4,-1.000,pct=100
1783941638.979,HANDOVER_RELOAD_START,1,http://10.0.0.100:8081/Video.mp4,7.150,from_ap=1 to_ap=2
1783941639.962,HANDOVER_RELOAD_SEEK_OK,2,http://10.0.0.100:8082/Video.mp4,7.150,
1783941639.785,PLAYING,2,http://10.0.0.100:8082/Video.mp4,7.150,
1783941647.899,STALL_START,2,http://10.0.0.100:8082/Video.mp4,7.150,pct=8.3
1783941653.454,STALL_END,2,http://10.0.0.100:8082/Video.mp4,7.150,duration_s=5.55
1783941654.779,HANDOVER_RELOAD_START,2,http://10.0.0.100:8082/Video.mp4,8.333,from_ap=2 to_ap=3
1783941655.754,HANDOVER_RELOAD_SEEK_OK,3,http://10.0.0.100:8083/Video.mp4,8.333,
1783941655.404,PLAYING,3,http://10.0.0.100:8083/Video.mp4,8.333,
1783941663.617,STALL_START,3,http://10.0.0.100:8083/Video.mp4,8.333,pct=8.3
1783941669.073,STALL_END,3,http://10.0.0.100:8083/Video.mp4,8.333,duration_s=5.46
1783941669.367,HANDOVER_RELOAD_START,3,http://10.0.0.100:8083/Video.mp4,8.583,from_ap=3 to_ap=4
1783941670.341,HANDOVER_RELOAD_SEEK_OK,4,http://10.0.0.100:8084/Video.mp4,8.583,
1783941670.153,PLAYING,4,http://10.0.0.100:8084/Video.mp4,8.583,
1783941678.115,STALL_START,4,http://10.0.0.100:8084/Video.mp4,8.583,pct=8.3
