seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.085,1,295.0,4.0,77930,0.0801,7778.5,4.0,0,0.0,steady
2,0.285,1,295.0,4.0,190947,0.2005,7619.8,7.8,0,0.0,steady
3,3.409,5,5818.1,4.0,2986462,3.1239,7648.1,8.68,0,0.0,switch
4,6.768,5,5818.1,4.0,3208756,3.3578,7644.8,9.32,0,0.0,steady
5,9.983,5,5818.1,4.0,3073850,3.2142,7650.8,10.1,0,0.0,steady
6,12.076,5,5818.1,4.0,2001339,2.0935,7648.0,12.01,0,0.0,steady
7,14.714,5,5818.1,4.0,2522294,2.637,7652.2,13.37,0,0.0,steady
8,19.063,5,5818.1,4.0,2704846,4.3481,4976.6,13.02,0,0.0,steady
9,20.798,4,2924.4,4.0,1655570,1.7349,7634.1,15.29,0,0.0,switch
10,24.322,5,5818.1,4.0,3365562,3.5241,7640.0,15.76,0,0.0,switch
11,26.704,5,5818.1,4.0,2275093,2.3813,7643.1,17.38,0,0.0,steady
12,29.432,5,5818.1,4.0,2605054,2.7273,7641.3,18.65,0,0.0,steady
13,32.679,5,5818.1,4.0,2999223,3.2463,7391.1,19.41,0,0.0,steady
14,50.762,5,5818.1,4.0,3222204,18.0828,1425.5,5.32,0,0.0,steady
15,51.201,2,685.0,4.0,415959,0.4385,7588.5,8.88,0,0.0,switch
16,53.021,5,5818.1,4.0,1735349,1.8197,7629.2,11.06,0,0.0,switch
17,56.348,5,5818.1,4.0,3176389,3.3262,7639.7,11.74,0,0.0,steady
18,60.056,5,5818.1,4.0,3539164,3.7078,7636.1,12.03,0,0.0,steady
19,62.886,5,5818.1,4.0,2702943,2.8305,7639.5,13.2,0,0.0,steady
20,67.855,5,5818.1,4.0,3054691,4.9686,4918.4,12.23,0,0.0,steady
21,69.569,4,2924.4,4.0,1634038,1.7135,7629.2,14.52,0,0.0,switch
22,72.439,5,5818.1,4.0,2740303,2.8699,7638.6,15.65,0,0.0,switch
23,73.984,5,5818.1,4.0,1473621,1.5452,7629.4,18.1,0,0.0,steady
24,77.229,5,5818.1,4.0,3098959,3.2446,7640.9,18.86,0,0.0,steady
25,79.188,5,5818.1,4.0,1868801,1.9585,7633.4,20.9,0,0.0,steady
26,82.025,5,5818.1,4.0,2709372,2.8372,7639.5,22.06,0,0.0,steady
27,85.267,5,5818.1,4.0,3095584,3.2413,7640.4,22.82,0,0.0,steady
