seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.085,1,295.0,4.0,77930,0.0804,7751.1,4.0,0,0.0,steady
2,0.285,1,295.0,4.0,190947,0.2,7637.4,7.8,0,0.0,steady
3,3.409,5,5818.1,4.0,2986462,3.1244,7646.9,8.68,0,0.0,switch
4,6.767,5,5818.1,4.0,3208756,3.3572,7646.3,9.32,0,0.0,steady
5,9.981,5,5818.1,4.0,3073850,3.2136,7652.2,10.1,0,0.0,steady
6,12.075,5,5818.1,4.0,2001339,2.0935,7647.9,12.01,0,0.0,steady
7,14.712,5,5818.1,4.0,2522294,2.6365,7653.4,13.37,0,0.0,steady
8,17.542,5,5818.1,4.0,2704846,2.829,7648.8,14.54,0,0.0,steady
9,22.53,5,5818.1,4.0,3235440,4.9878,5189.4,13.55,0,0.0,steady
10,24.324,4,2924.4,4.0,1713066,1.794,7638.9,15.76,0,0.0,switch
11,26.706,5,5818.1,4.0,2275093,2.3814,7642.8,17.38,0,0.0,switch
12,29.434,5,5818.1,4.0,2605054,2.7271,7641.9,18.65,0,0.0,steady
13,32.574,5,5818.1,4.0,2999223,3.1391,7643.4,19.51,0,0.0,steady
14,35.946,5,5818.1,4.0,3222204,3.3722,7644.2,20.14,0,0.0,steady
15,39.768,5,5818.1,4.0,3571798,3.821,7478.2,20.32,0,0.0,steady
16,41.585,5,5818.1,4.0,1735349,1.8174,7638.8,22.5,0,0.0,steady
17,58.798,5,5818.1,4.0,3176389,17.2117,1476.4,9.29,0,0.0,steady
18,59.28,2,685.0,4.0,456690,0.4817,7584.8,12.8,0,0.0,switch
19,62.111,5,5818.1,4.0,2702943,2.8309,7638.4,13.97,0,0.0,switch
20,65.309,5,5818.1,4.0,3054691,3.1983,7640.9,14.78,0,0.0,steady
21,68.885,5,5818.1,4.0,3415444,3.576,7640.8,15.2,0,0.0,steady
22,71.755,5,5818.1,4.0,2740303,2.8694,7640.1,16.33,0,0.0,steady
23,73.3,5,5818.1,4.0,1473621,1.5452,7629.2,18.78,0,0.0,steady
24,76.546,5,5818.1,4.0,3098959,3.245,7640.0,19.54,0,0.0,steady
25,80.286,5,5818.1,4.0,1868801,3.7405,3996.9,19.8,0,0.0,steady
26,81.665,4,2924.4,4.0,1313599,1.3782,7625.1,22.42,0,0.0,switch
27,84.908,5,5818.1,4.0,3095584,3.2432,7636.0,23.18,0,0.0,switch
28,88.743,5,5818.1,4.0,3663678,3.8353,7642.0,23.34,0,0.0,steady
29,92.066,5,5818.1,4.0,3173531,3.3228,7640.6,24.02,0,0.0,steady
30,95.488,5,5818.1,4.0,3172071,3.3218,7639.4,24.6,0,0.0,steady
31,99.762,5,5818.1,4.0,3505634,3.6714,7638.8,24.32,0,0.0,steady
32,118.134,5,5818.1,4.0,3329855,17.9704,1482.4,9.95,0,0.0,steady
