seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.084,1,295.0,4.0,77930,0.0802,7773.5,4.0,0,0.0,steady
2,0.285,1,295.0,4.0,190947,0.2003,7627.0,7.8,0,0.0,steady
3,3.409,5,5818.1,4.0,2986462,3.1241,7647.5,8.67,0,0.0,switch
4,6.767,5,5818.1,4.0,3208756,3.3573,7646.1,9.32,0,0.0,steady
5,9.981,5,5818.1,4.0,3073850,3.2136,7652.1,10.1,0,0.0,steady
6,12.074,5,5818.1,4.0,2001339,2.0921,7653.0,12.01,0,0.0,steady
7,14.712,5,5818.1,4.0,2522294,2.6379,7649.3,13.37,0,0.0,steady
8,19.127,5,5818.1,4.0,2704846,4.4142,4902.1,12.96,0,0.0,steady
9,20.862,4,2924.4,4.0,1655570,1.7352,7632.9,15.22,0,0.0,switch
10,24.388,5,5818.1,4.0,3365562,3.5248,7638.7,15.7,0,0.0,switch
11,26.771,5,5818.1,4.0,2275093,2.3823,7639.8,17.31,0,0.0,steady
12,29.498,5,5818.1,4.0,2605054,2.7271,7641.9,18.59,0,0.0,steady
13,32.647,5,5818.1,4.0,2999223,3.1474,7623.4,19.44,0,0.0,steady
14,50.209,5,5818.1,4.0,3222204,17.5615,1467.8,5.88,0,0.0,steady
15,50.648,2,685.0,4.0,415959,0.4388,7584.3,9.44,0,0.0,switch
16,52.468,5,5818.1,4.0,1735349,1.8206,7625.2,11.62,0,0.0,switch
17,55.795,5,5818.1,4.0,3176389,3.3262,7639.6,12.29,0,0.0,steady
18,59.504,5,5818.1,4.0,3539164,3.7079,7635.9,12.58,0,0.0,steady
19,62.335,5,5818.1,4.0,2702943,2.8309,7638.4,13.75,0,0.0,steady
20,65.63,5,5818.1,4.0,3054691,3.2946,7417.5,14.45,0,0.0,steady
21,70.838,5,5818.1,4.0,3415444,5.2076,5246.9,13.25,0,0.0,steady
22,72.248,4,2924.4,4.0,1343919,1.4108,7620.9,15.84,0,0.0,switch
23,73.795,5,5818.1,4.0,1473621,1.5458,7626.3,18.29,0,0.0,switch
24,77.04,5,5818.1,4.0,3098959,3.245,7639.9,19.04,0,0.0,steady
25,78.999,5,5818.1,4.0,1868801,1.9586,7633.3,21.09,0,0.0,steady
26,81.836,5,5818.1,4.0,2709372,2.8373,7639.3,22.25,0,0.0,steady
27,85.078,5,5818.1,4.0,3095584,3.2413,7640.4,23.01,0,0.0,steady
