seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.085,1,295.0,4.0,77930,0.0805,7739.8,4.0,0,0.0,steady
2,0.285,1,295.0,4.0,190947,0.2001,7635.3,7.8,0,0.0,steady
3,3.41,5,5818.1,4.0,2986462,3.1246,7646.4,8.67,0,0.0,switch
4,6.768,5,5818.1,4.0,3208756,3.358,7644.4,9.32,0,0.0,steady
5,9.984,5,5818.1,4.0,3073850,3.2148,7649.3,10.1,0,0.0,steady
6,12.078,5,5818.1,4.0,2001339,2.0939,7646.3,12.01,0,0.0,steady
7,14.716,5,5818.1,4.0,2522294,2.6373,7651.0,13.37,0,0.0,steady
8,17.546,5,5818.1,4.0,2704846,2.8293,7648.2,14.54,0,0.0,steady
9,22.535,5,5818.1,4.0,3235440,4.9884,5188.8,13.55,0,0.0,steady
10,24.33,4,2924.4,4.0,1713066,1.7946,7636.6,15.76,0,0.0,switch
11,26.712,5,5818.1,4.0,2275093,2.382,7640.8,17.37,0,0.0,switch
12,29.441,5,5818.1,4.0,2605054,2.7278,7640.1,18.64,0,0.0,steady
13,32.581,5,5818.1,4.0,2999223,3.1396,7642.3,19.5,0,0.0,steady
14,35.954,5,5818.1,4.0,3222204,3.3726,7643.3,20.13,0,0.0,steady
15,39.81,5,5818.1,4.0,3571798,3.8552,7411.9,20.28,0,0.0,steady
16,41.628,5,5818.1,4.0,1735349,1.8179,7636.6,22.46,0,0.0,steady
17,59.663,5,5818.1,4.0,3176389,18.0345,1409.0,8.42,0,0.0,steady
18,60.145,2,685.0,4.0,456690,0.4825,7572.8,11.94,0,0.0,switch
19,62.977,5,5818.1,4.0,2702943,2.8313,7637.4,13.11,0,0.0,switch
20,66.176,5,5818.1,4.0,3054691,3.1988,7639.5,13.91,0,0.0,steady
21,69.753,5,5818.1,4.0,3415444,3.5768,7639.1,14.33,0,0.0,steady
22,72.623,5,5818.1,4.0,2740303,2.8701,7638.1,15.46,0,0.0,steady
23,74.169,5,5818.1,4.0,1473621,1.5459,7625.8,17.92,0,0.0,steady
24,77.461,5,5818.1,4.0,3098959,3.2914,7532.3,18.62,0,0.0,steady
25,81.208,5,5818.1,4.0,1868801,3.7467,3990.3,18.88,0,0.0,steady
26,82.587,4,2924.4,4.0,1313599,1.379,7620.8,21.5,0,0.0,switch
27,85.829,5,5818.1,4.0,3095584,3.2421,7638.6,22.26,0,0.0,switch
28,89.666,5,5818.1,4.0,3663678,3.8368,7639.0,22.42,0,0.0,steady
29,92.99,5,5818.1,4.0,3173531,3.3241,7637.6,23.09,0,0.0,steady
30,96.312,5,5818.1,4.0,3172071,3.3217,7639.6,23.77,0,0.0,steady
31,99.983,5,5818.1,4.0,3505634,3.6707,7640.2,24.1,0,0.0,steady
32,118.423,5,5818.1,4.0,3329855,18.2396,1460.5,9.66,0,0.0,steady
