seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.13,1,295.0,4.0,77930,0.1269,4914.3,4.0,0,0.0,steady
2,0.451,1,295.0,4.0,190947,0.3202,4770.0,7.68,0,0.0,steady
3,2.863,4,2924.4,4.0,1440488,2.4117,4778.4,9.27,0,0.0,switch
4,5.475,4,2924.4,4.0,1560430,2.612,4779.2,10.66,0,0.0,steady
5,8.215,4,2924.4,4.0,1637070,2.7393,4781.0,11.92,0,0.0,steady
6,9.91,4,2924.4,4.0,1013753,1.6952,4784.2,14.22,0,0.0,steady
7,12.02,4,2924.4,4.0,1260231,2.1103,4777.5,16.11,0,0.0,steady
8,14.514,4,2924.4,4.0,1489755,2.4931,4780.3,17.62,0,0.0,steady
9,19.699,4,2924.4,4.0,1655570,5.1853,2554.2,16.43,0,0.0,steady
10,21.152,3,1465.2,4.0,867957,1.4524,4781.0,18.98,0,0.0,switch
11,22.877,4,2924.4,4.0,1030878,1.7248,4781.3,21.25,0,0.0,switch
12,25.038,4,2924.4,4.0,1291502,2.1614,4780.2,23.09,0,0.0,steady
13,27.611,4,2924.4,4.0,1537016,2.5725,4779.9,24.52,0,0.0,steady
14,30.931,4,2924.4,4.0,1623114,2.7175,4778.3,25.2,0,0.0,steady
15,54.053,4,2924.4,4.0,1928282,3.231,4774.5,6.08,0,0.0,steady
16,55.265,4,2924.4,4.0,723959,1.2124,4777.1,8.86,0,0.0,steady
17,57.643,4,2924.4,4.0,1419382,2.3773,4776.5,10.49,0,0.0,steady
18,60.859,4,2924.4,4.0,1920802,3.2161,4777.9,11.27,0,0.0,steady
19,63.151,4,2924.4,4.0,1367677,2.2912,4775.4,12.98,0,0.0,steady
20,67.819,4,2924.4,4.0,1610274,4.6677,2759.8,12.31,0,0.0,steady
21,69.824,3,1465.2,4.0,857478,2.0053,3420.8,14.31,0,0.0,switch
22,72.075,4,2924.4,4.0,1343919,2.2505,4777.3,16.06,0,0.0,switch
23,73.326,4,2924.4,4.0,746363,1.2508,4773.6,18.8,0,0.0,steady
24,76.013,4,2924.4,4.0,1604801,2.6872,4777.6,20.12,0,0.0,steady
25,77.485,4,2924.4,4.0,878550,1.4719,4775.1,22.65,0,0.0,steady
26,79.685,4,2924.4,4.0,1313599,2.2001,4776.6,24.45,0,0.0,steady
27,82.901,4,2924.4,4.0,1620229,2.7142,4775.5,25.23,0,0.0,steady
