seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.132,1,295.0,4.0,77930,0.1279,4874.6,4.0,0,0.0,steady
2,0.453,1,295.0,4.0,190947,0.3204,4768.2,7.68,0,0.0,steady
3,2.864,4,2924.4,4.0,1440488,2.4108,4780.1,9.27,0,0.0,switch
4,5.476,4,2924.4,4.0,1560430,2.6121,4779.1,10.66,0,0.0,steady
5,8.216,4,2924.4,4.0,1637070,2.7393,4780.9,11.92,0,0.0,steady
6,9.911,4,2924.4,4.0,1013753,1.6948,4785.2,14.22,0,0.0,steady
7,12.021,4,2924.4,4.0,1260231,2.1105,4777.1,16.11,0,0.0,steady
8,14.514,4,2924.4,4.0,1489755,2.4925,4781.6,17.62,0,0.0,steady
9,17.287,4,2924.4,4.0,1655570,2.7729,4776.4,18.85,0,0.0,steady
10,22.557,4,2924.4,4.0,1713066,5.2698,2600.6,17.58,0,0.0,steady
11,23.532,3,1465.2,4.0,582629,0.9746,4782.3,20.6,0,0.0,switch
12,25.694,4,2924.4,4.0,1291502,2.1615,4779.9,22.44,0,0.0,switch
13,28.266,4,2924.4,4.0,1537016,2.5719,4780.9,23.87,0,0.0,steady
14,30.982,4,2924.4,4.0,1623114,2.716,4780.9,25.15,0,0.0,steady
15,35.415,4,2924.4,4.0,1928282,3.2291,4777.3,24.72,0,0.0,steady
16,37.43,4,2924.4,4.0,723959,1.2125,4776.8,26.7,0,0.0,steady
17,42.576,4,2924.4,4.0,1419382,2.4397,4654.3,25.56,0,0.0,steady
18,60.346,4,2924.4,4.0,1920802,5.2359,2934.8,11.79,0,0.0,steady
19,61.513,3,1465.2,4.0,696701,1.1675,4774.1,14.62,0,0.0,switch
20,64.211,4,2924.4,4.0,1610274,2.6975,4775.6,15.92,0,0.0,switch
21,66.947,4,2924.4,4.0,1634038,2.7358,4778.2,17.19,0,0.0,steady
22,69.197,4,2924.4,4.0,1343919,2.2499,4778.5,18.94,0,0.0,steady
23,70.447,4,2924.4,4.0,746363,1.2503,4775.7,21.68,0,0.0,steady
24,73.134,4,2924.4,4.0,1604801,2.6861,4779.5,23.0,0,0.0,steady
25,74.605,4,2924.4,4.0,878550,1.4711,4777.5,25.53,0,0.0,steady
26,80.227,4,2924.4,4.0,1313599,4.0172,2616.0,23.91,0,0.0,steady
27,82.289,3,1465.2,4.0,858230,2.0619,3329.8,25.84,0,0.0,switch
28,87.221,4,2924.4,4.0,1805843,3.0253,4775.3,24.91,0,0.0,switch
29,90.996,4,2924.4,4.0,1654943,2.7721,4775.9,25.14,0,0.0,steady
30,94.788,4,2924.4,4.0,1544526,2.5879,4774.6,25.34,0,0.0,steady
31,99.336,4,2924.4,4.0,1876562,3.144,4774.9,24.8,0,0.0,steady
32,117.545,4,2924.4,4.0,1615454,17.4055,742.5,10.59,0,0.0,steady
