seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.13,1,295.0,4.0,77930,0.1266,4926.1,4.0,0,0.0,steady
2,0.451,1,295.0,4.0,190947,0.3206,4765.1,7.68,0,0.0,steady
3,2.863,4,2924.4,4.0,1440488,2.4116,4778.6,9.27,0,0.0,switch
4,5.475,4,2924.4,4.0,1560430,2.6123,4778.7,10.65,0,0.0,steady
5,8.215,4,2924.4,4.0,1637070,2.739,4781.5,11.92,0,0.0,steady
6,9.91,4,2924.4,4.0,1013753,1.6951,4784.5,14.22,0,0.0,steady
7,12.02,4,2924.4,4.0,1260231,2.1102,4777.7,16.11,0,0.0,steady
8,17.098,4,2924.4,4.0,1489755,5.0772,2347.3,15.03,0,0.0,steady
9,18.477,3,1465.2,4.0,824245,1.379,4781.8,17.65,0,0.0,switch
10,21.345,4,2924.4,4.0,1713066,2.868,4778.4,18.79,0,0.0,switch
11,23.07,4,2924.4,4.0,1030878,1.7246,4781.9,21.06,0,0.0,steady
12,25.231,4,2924.4,4.0,1291502,2.1613,4780.4,22.9,0,0.0,steady
13,27.814,4,2924.4,4.0,1537016,2.5823,4761.6,24.32,0,0.0,steady
14,48.256,4,2924.4,4.0,1623114,2.7191,4775.5,7.87,0,0.0,steady
15,51.486,4,2924.4,4.0,1928282,3.23,4776.0,8.64,0,0.0,steady
16,52.699,4,2924.4,4.0,723959,1.2131,4774.3,11.43,0,0.0,steady
17,55.076,4,2924.4,4.0,1419382,2.3766,4777.8,13.05,0,0.0,steady
18,61.08,4,2924.4,4.0,1920802,6.0037,2559.5,11.05,0,0.0,steady
19,62.249,3,1465.2,4.0,696701,1.1681,4771.3,13.88,0,0.0,switch
20,64.946,4,2924.4,4.0,1610274,2.6975,4775.6,15.18,0,0.0,switch
21,67.682,4,2924.4,4.0,1634038,2.7358,4778.2,16.45,0,0.0,steady
22,69.933,4,2924.4,4.0,1343919,2.2506,4777.1,18.2,0,0.0,steady
23,71.184,4,2924.4,4.0,746363,1.2509,4773.5,20.95,0,0.0,steady
