seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.131,1,295.0,4.0,77930,0.1268,4916.3,4.0,0,0.0,steady
2,0.452,1,295.0,4.0,190947,0.3206,4764.5,7.68,0,0.0,steady
3,2.864,4,2924.4,4.0,1440488,2.4118,4778.2,9.27,0,0.0,switch
4,5.476,4,2924.4,4.0,1560430,2.6117,4779.8,10.66,0,0.0,steady
5,8.215,4,2924.4,4.0,1637070,2.7394,4780.8,11.92,0,0.0,steady
6,9.911,4,2924.4,4.0,1013753,1.6953,4783.9,14.22,0,0.0,steady
7,12.021,4,2924.4,4.0,1260231,2.1097,4778.8,16.11,0,0.0,steady
8,14.514,4,2924.4,4.0,1489755,2.4931,4780.4,17.62,0,0.0,steady
9,17.287,4,2924.4,4.0,1655570,2.7722,4777.6,18.84,0,0.0,steady
10,22.585,4,2924.4,4.0,1713066,5.2979,2586.8,17.55,0,0.0,steady
11,23.56,3,1465.2,4.0,582629,0.9749,4780.9,20.57,0,0.0,switch
12,25.721,4,2924.4,4.0,1291502,2.1612,4780.7,22.41,0,0.0,switch
13,28.293,4,2924.4,4.0,1537016,2.5718,4781.1,23.84,0,0.0,steady
14,31.01,4,2924.4,4.0,1623114,2.7163,4780.4,25.12,0,0.0,steady
15,35.442,4,2924.4,4.0,1928282,3.2287,4777.8,24.69,0,0.0,steady
16,37.356,4,2924.4,4.0,723959,1.2124,4777.0,26.77,0,0.0,steady
17,42.587,4,2924.4,4.0,1419382,2.4233,4685.8,25.54,0,0.0,steady
18,60.282,4,2924.4,4.0,1920802,5.2363,2934.6,11.85,0,0.0,steady
19,61.449,3,1465.2,4.0,696701,1.1669,4776.3,14.68,0,0.0,switch
20,64.146,4,2924.4,4.0,1610274,2.6974,4775.8,15.98,0,0.0,switch
21,66.882,4,2924.4,4.0,1634038,2.7356,4778.5,17.25,0,0.0,steady
22,69.132,4,2924.4,4.0,1343919,2.2497,4779.1,19.0,0,0.0,steady
23,70.383,4,2924.4,4.0,746363,1.2507,4774.2,21.75,0,0.0,steady
24,73.069,4,2924.4,4.0,1604801,2.6864,4779.1,23.06,0,0.0,steady
25,74.541,4,2924.4,4.0,878550,1.4713,4777.0,25.59,0,0.0,steady
26,80.119,4,2924.4,4.0,1313599,3.9739,2644.4,24.01,0,0.0,steady
27,82.28,3,1465.2,4.0,858230,2.0606,3332.0,25.85,0,0.0,switch
28,87.211,4,2924.4,4.0,1805843,3.0253,4775.3,24.92,0,0.0,switch
29,90.987,4,2924.4,4.0,1654943,2.7723,4775.7,25.14,0,0.0,steady
30,94.778,4,2924.4,4.0,1544526,2.5877,4775.0,25.35,0,0.0,steady
31,99.324,4,2924.4,4.0,1876562,3.1428,4776.8,24.81,0,0.0,steady
32,117.688,4,2924.4,4.0,1615454,17.4619,740.1,10.44,0,0.0,steady
