seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.084,1,295.0,4.0,77930,0.0801,7783.8,4.0,0,0.0,steady
2,0.285,1,295.0,4.0,190947,0.2,7637.8,7.8,0,0.0,steady
3,3.409,5,5818.1,4.0,2986462,3.1239,7648.1,8.68,0,0.0,switch
4,6.765,5,5818.1,4.0,3208756,3.3564,7648.1,9.32,0,0.0,steady
5,9.979,5,5818.1,4.0,3073850,3.2134,7652.5,10.11,0,0.0,steady
6,12.072,5,5818.1,4.0,2001339,2.0934,7648.3,12.01,0,0.0,steady
7,14.71,5,5818.1,4.0,2522294,2.6373,7651.1,13.37,0,0.0,steady
8,19.175,5,5818.1,4.0,2704846,4.4645,4846.9,12.91,0,0.0,steady
9,20.908,4,2924.4,4.0,1655570,1.7337,7639.3,15.18,0,0.0,switch
10,24.431,5,5818.1,4.0,3365562,3.5221,7644.4,15.65,0,0.0,switch
11,26.811,5,5818.1,4.0,2275093,2.3802,7646.7,17.27,0,0.0,steady
12,29.538,5,5818.1,4.0,2605054,2.7261,7644.9,18.55,0,0.0,steady
13,32.765,5,5818.1,4.0,2999223,3.2268,7435.8,19.32,0,0.0,steady
14,50.949,5,5818.1,4.0,3222204,18.1835,1417.6,5.14,0,0.0,steady
15,51.386,2,685.0,4.0,415959,0.4376,7604.0,8.7,0,0.0,switch
16,53.204,5,5818.1,4.0,1735349,1.8181,7636.0,10.88,0,0.0,switch
17,56.53,5,5818.1,4.0,3176389,3.325,7642.5,11.55,0,0.0,steady
18,60.237,5,5818.1,4.0,3539164,3.7072,7637.4,11.85,0,0.0,steady
19,63.068,5,5818.1,4.0,2702943,2.8306,7639.1,13.02,0,0.0,steady
20,68.038,5,5818.1,4.0,3054691,4.9701,4916.9,12.05,0,0.0,steady
21,69.751,4,2924.4,4.0,1634038,1.7124,7633.8,14.33,0,0.0,switch
22,72.62,5,5818.1,4.0,2740303,2.8692,7640.6,15.46,0,0.0,switch
23,74.166,5,5818.1,4.0,1473621,1.5453,7628.8,17.92,0,0.0,steady
24,77.41,5,5818.1,4.0,3098959,3.2444,7641.4,18.67,0,0.0,steady
25,79.369,5,5818.1,4.0,1868801,1.9584,7633.9,20.72,0,0.0,steady
26,82.206,5,5818.1,4.0,2709372,2.8369,7640.3,21.88,0,0.0,steady
27,99.909,5,5818.1,4.0,3095584,17.7033,1398.9,8.18,0,0.0,steady
