seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.131,1,295.0,4.0,77930,0.1274,4895.1,4.0,0,0.0,steady
2,0.452,1,295.0,4.0,190947,0.3205,4766.9,7.68,0,0.0,steady
3,2.863,4,2924.4,4.0,1440488,2.4113,4779.1,9.27,0,0.0,switch
4,5.476,4,2924.4,4.0,1560430,2.6119,4779.5,10.66,0,0.0,steady
5,8.216,4,2924.4,4.0,1637070,2.7399,4779.9,11.92,0,0.0,steady
6,9.91,4,2924.4,4.0,1013753,1.6946,4785.9,14.22,0,0.0,steady
7,12.02,4,2924.4,4.0,1260231,2.1095,4779.2,16.11,0,0.0,steady
8,17.121,4,2924.4,4.0,1489755,5.1003,2336.7,15.01,0,0.0,steady
9,18.5,3,1465.2,4.0,824245,1.3791,4781.3,17.63,0,0.0,switch
10,21.368,4,2924.4,4.0,1713066,2.8681,4778.2,18.76,0,0.0,switch
11,23.093,4,2924.4,4.0,1030878,1.7245,4782.3,21.04,0,0.0,steady
12,25.254,4,2924.4,4.0,1291502,2.1614,4780.2,22.88,0,0.0,steady
13,27.832,4,2924.4,4.0,1537016,2.5777,4770.1,24.3,0,0.0,steady
14,45.621,4,2924.4,4.0,1623114,17.4872,742.5,10.51,0,0.0,steady
15,45.874,1,295.0,4.0,149828,0.2529,4739.5,14.26,0,0.0,switch
16,47.086,4,2924.4,4.0,723959,1.2125,4776.5,17.04,0,0.0,switch
17,49.464,4,2924.4,4.0,1419382,2.3772,4776.7,18.67,0,0.0,steady
18,52.681,4,2924.4,4.0,1920802,3.2169,4776.7,19.45,0,0.0,steady
19,54.971,4,2924.4,4.0,1367677,2.2905,4776.8,21.16,0,0.0,steady
20,59.563,4,2924.4,4.0,1610274,4.5918,2805.5,20.57,0,0.0,steady
21,61.704,3,1465.2,4.0,857478,2.1402,3205.2,22.43,0,0.0,switch
22,62.791,3,1465.2,4.0,648712,1.0872,4773.4,25.34,0,0.0,steady
23,65.448,4,2924.4,4.0,746363,1.2527,4766.6,26.68,0,0.0,switch
24,70.843,4,2924.4,4.0,1604801,2.6876,4777.0,25.29,0,0.0,steady
