seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.083,1,295.0,4.0,77930,0.0798,7807.8,4.0,0,0.0,steady
2,0.284,1,295.0,4.0,190947,0.2003,7624.6,7.8,0,0.0,steady
3,3.408,5,5818.1,4.0,2986462,3.1237,7648.5,8.68,0,0.0,switch
4,6.766,5,5818.1,4.0,3208756,3.3574,7645.9,9.32,0,0.0,steady
5,9.98,5,5818.1,4.0,3073850,3.2136,7652.0,10.1,0,0.0,steady
6,12.074,5,5818.1,4.0,2001339,2.0934,7648.2,12.01,0,0.0,steady
7,14.711,5,5818.1,4.0,2522294,2.6368,7652.6,13.37,0,0.0,steady
8,19.071,5,5818.1,4.0,2704846,4.3589,4964.3,13.01,0,0.0,steady
9,20.806,4,2924.4,4.0,1655570,1.7348,7634.6,15.28,0,0.0,switch
10,24.33,5,5818.1,4.0,3365562,3.5242,7639.9,15.75,0,0.0,switch
11,26.712,5,5818.1,4.0,2275093,2.3812,7643.6,17.37,0,0.0,steady
12,29.44,5,5818.1,4.0,2605054,2.7275,7640.8,18.64,0,0.0,steady
13,32.606,5,5818.1,4.0,2999223,3.1655,7579.7,19.48,0,0.0,steady
14,50.697,5,5818.1,4.0,3222204,18.0896,1425.0,5.39,0,0.0,steady
15,51.136,2,685.0,4.0,415959,0.4391,7578.6,8.95,0,0.0,switch
16,52.956,5,5818.1,4.0,1735349,1.8204,7626.2,11.13,0,0.0,switch
17,56.283,5,5818.1,4.0,3176389,3.3258,7640.6,11.8,0,0.0,steady
18,59.991,5,5818.1,4.0,3539164,3.7075,7636.8,12.09,0,0.0,steady
19,62.822,5,5818.1,4.0,2702943,2.8309,7638.3,13.26,0,0.0,steady
20,67.758,5,5818.1,4.0,3054691,4.936,4950.9,12.33,0,0.0,steady
21,69.472,4,2924.4,4.0,1634038,1.7134,7629.6,14.61,0,0.0,switch
22,72.341,5,5818.1,4.0,2740303,2.8696,7639.6,15.74,0,0.0,switch
23,73.886,5,5818.1,4.0,1473621,1.545,7630.5,18.2,0,0.0,steady
24,77.131,5,5818.1,4.0,3098959,3.2442,7641.8,18.95,0,0.0,steady
25,79.089,5,5818.1,4.0,1868801,1.9583,7634.3,20.99,0,0.0,steady
26,81.927,5,5818.1,4.0,2709372,2.8377,7638.2,22.16,0,0.0,steady
27,85.168,5,5818.1,4.0,3095584,3.2408,7641.5,22.92,0,0.0,steady
