seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.083,1,295.0,4.0,77930,0.0797,7818.3,4.0,0,0.0,steady
2,0.283,1,295.0,4.0,190947,0.2001,7634.3,7.8,0,0.0,steady
3,3.408,5,5818.1,4.0,2986462,3.1239,7648.0,8.68,0,0.0,switch
4,6.765,5,5818.1,4.0,3208756,3.3573,7646.2,9.32,0,0.0,steady
5,9.979,5,5818.1,4.0,3073850,3.2135,7652.4,10.1,0,0.0,steady
6,12.073,5,5818.1,4.0,2001339,2.093,7649.8,12.01,0,0.0,steady
7,16.34,5,5818.1,4.0,2522294,4.2669,4729.1,11.74,0,0.0,steady
8,17.902,4,2924.4,4.0,1489755,1.5618,7630.9,14.18,0,0.0,switch
9,21.291,5,5818.1,4.0,3235440,3.3891,7637.3,14.79,0,0.0,switch
10,24.816,5,5818.1,4.0,3365562,3.5245,7639.3,15.27,0,0.0,steady
11,27.198,5,5818.1,4.0,2275093,2.3812,7643.4,16.88,0,0.0,steady
12,29.962,5,5818.1,4.0,2605054,2.7636,7541.2,18.12,0,0.0,steady
13,47.559,5,5818.1,4.0,2999223,17.5961,1363.6,4.52,0,0.0,steady
14,47.994,2,685.0,4.0,411433,0.4347,7571.2,8.09,0,0.0,switch
15,51.737,5,5818.1,4.0,3571798,3.7423,7635.6,8.35,0,0.0,switch
16,53.555,5,5818.1,4.0,1735349,1.8182,7635.4,10.53,0,0.0,steady
17,56.993,5,5818.1,4.0,3176389,3.4372,7393.0,11.09,0,0.0,steady
18,62.419,5,5818.1,4.0,3539164,5.4253,5218.7,9.66,0,0.0,steady
19,63.854,4,2924.4,4.0,1367677,1.4352,7623.7,12.23,0,0.0,switch
20,67.054,5,5818.1,4.0,3054691,3.1992,7638.6,13.03,0,0.0,switch
21,70.631,5,5818.1,4.0,3415444,3.5768,7639.2,13.45,0,0.0,steady
