seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.084,1,295.0,4.0,77930,0.0801,7783.3,4.0,0,0.0,steady
2,0.285,1,295.0,4.0,190947,0.2004,7620.8,7.8,0,0.0,steady
3,3.409,5,5818.1,4.0,2986462,3.124,7647.8,8.67,0,0.0,switch
4,6.767,5,5818.1,4.0,3208756,3.3572,7646.2,9.32,0,0.0,steady
5,9.981,5,5818.1,4.0,3073850,3.2137,7651.9,10.1,0,0.0,steady
6,12.075,5,5818.1,4.0,2001339,2.0934,7648.2,12.01,0,0.0,steady
7,14.713,5,5818.1,4.0,2522294,2.6373,7651.2,13.37,0,0.0,steady
8,17.746,5,5818.1,4.0,2704846,3.0328,7134.9,14.34,0,0.0,steady
9,21.135,5,5818.1,4.0,3235440,3.3882,7639.2,14.95,0,0.0,steady
10,24.66,5,5818.1,4.0,3365562,3.5246,7639.0,15.42,0,0.0,steady
11,27.041,5,5818.1,4.0,2275093,2.3809,7644.5,17.04,0,0.0,steady
12,29.769,5,5818.1,4.0,2605054,2.7268,7642.7,18.32,0,0.0,steady
13,32.964,5,5818.1,4.0,2999223,3.1944,7511.2,19.12,0,0.0,steady
14,54.174,5,5818.1,4.0,3222204,3.3752,7637.4,4.0,1,2.09,steady
15,54.336,1,295.0,4.0,149828,0.1617,7413.0,7.84,1,0.0,switch
16,56.156,5,5818.1,4.0,1735349,1.8195,7629.9,10.02,1,0.0,switch
17,59.482,5,5818.1,4.0,3176389,3.3262,7639.7,10.69,1,0.0,steady
18,63.191,5,5818.1,4.0,3539164,3.7078,7636.2,10.98,1,0.0,steady
19,67.748,5,5818.1,4.0,2702943,4.5567,4745.4,10.43,1,0.0,steady
20,69.438,4,2924.4,4.0,1610274,1.6903,7621.5,12.74,1,0.0,switch
21,73.015,5,5818.1,4.0,3415444,3.5765,7639.7,13.16,1,0.0,switch
22,75.885,5,5818.1,4.0,2740303,2.8698,7639.0,14.29,1,0.0,steady
23,77.43,5,5818.1,4.0,1473621,1.5454,7628.3,16.74,1,0.0,steady
24,80.675,5,5818.1,4.0,3098959,3.2443,7641.7,17.5,1,0.0,steady
25,82.634,5,5818.1,4.0,1868801,1.9592,7631.0,19.54,1,0.0,steady
26,100.167,5,5818.1,4.0,2709372,17.5333,1236.2,6.01,1,0.0,steady
