seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.084,1,295.0,4.0,77930,0.0802,7776.4,4.0,0,0.0,steady
2,0.284,1,295.0,4.0,190947,0.2002,7630.2,7.8,0,0.0,steady
3,3.409,5,5818.1,4.0,2986462,3.1239,7648.1,8.68,0,0.0,switch
4,6.766,5,5818.1,4.0,3208756,3.3571,7646.5,9.32,0,0.0,steady
5,9.981,5,5818.1,4.0,3073850,3.2136,7652.0,10.1,0,0.0,steady
6,12.075,5,5818.1,4.0,2001339,2.094,7645.8,12.01,0,0.0,steady
7,16.332,5,5818.1,4.0,2522294,4.2562,4740.9,11.75,0,0.0,steady
8,17.893,4,2924.4,4.0,1489755,1.5613,7633.2,14.19,0,0.0,switch
9,21.282,5,5818.1,4.0,3235440,3.3882,7639.4,14.8,0,0.0,switch
10,24.806,5,5818.1,4.0,3365562,3.5245,7639.2,15.28,0,0.0,steady
11,27.188,5,5818.1,4.0,2275093,2.3812,7643.5,16.9,0,0.0,steady
12,48.19,5,5818.1,4.0,2605054,2.731,7631.1,4.0,1,4.106,steady
13,48.325,1,295.0,4.0,124544,0.1346,7403.5,7.87,1,0.0,switch
14,51.7,5,5818.1,4.0,3222204,3.3742,7639.6,8.49,1,0.0,switch
15,55.442,5,5818.1,4.0,3571798,3.7417,7636.6,8.75,1,0.0,steady
16,57.323,5,5818.1,4.0,1735349,1.8807,7381.8,10.87,1,0.0,steady
17,62.302,5,5818.1,4.0,3176389,4.9787,5104.0,9.89,1,0.0,steady
18,64.317,4,2924.4,4.0,1920802,2.0143,7628.5,11.87,1,0.0,switch
19,67.147,5,5818.1,4.0,2702943,2.8306,7639.2,13.04,1,0.0,switch
20,70.346,5,5818.1,4.0,3054691,3.1987,7639.7,13.84,1,0.0,steady
