seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.13,1,295.0,4.0,77930,0.1268,4916.1,4.0,0,0.0,steady
2,0.451,1,295.0,4.0,190947,0.3204,4767.4,7.68,0,0.0,steady
3,2.863,4,2924.4,4.0,1440488,2.4119,4777.9,9.27,0,0.0,switch
4,5.475,4,2924.4,4.0,1560430,2.6118,4779.7,10.65,0,0.0,steady
5,8.215,4,2924.4,4.0,1637070,2.7391,4781.4,11.92,0,0.0,steady
6,9.91,4,2924.4,4.0,1013753,1.695,4784.8,14.22,0,0.0,steady
7,12.02,4,2924.4,4.0,1260231,2.1102,4777.6,16.11,0,0.0,steady
8,17.122,4,2924.4,4.0,1489755,5.1023,2335.8,15.01,0,0.0,steady
9,18.501,3,1465.2,4.0,824245,1.3786,4783.2,17.63,0,0.0,switch
10,21.37,4,2924.4,4.0,1713066,2.868,4778.4,18.76,0,0.0,switch
11,23.094,4,2924.4,4.0,1030878,1.7248,4781.4,21.04,0,0.0,steady
12,25.256,4,2924.4,4.0,1291502,2.1613,4780.5,22.87,0,0.0,steady
13,27.851,4,2924.4,4.0,1537016,2.595,4738.5,24.28,0,0.0,steady
14,48.207,4,2924.4,4.0,1623114,2.7198,4774.3,7.92,0,0.0,steady
15,51.437,4,2924.4,4.0,1928282,3.2301,4775.8,8.69,0,0.0,steady
16,52.65,4,2924.4,4.0,723959,1.2133,4773.6,11.48,0,0.0,steady
17,55.027,4,2924.4,4.0,1419382,2.3765,4778.0,13.1,0,0.0,steady
18,60.611,4,2924.4,4.0,1920802,5.5831,2752.3,11.52,0,0.0,steady
19,61.956,3,1465.2,4.0,696701,1.3454,4142.7,14.17,0,0.0,switch
20,64.654,4,2924.4,4.0,1610274,2.6973,4775.9,15.48,0,0.0,switch
21,67.39,4,2924.4,4.0,1634038,2.7357,4778.4,16.74,0,0.0,steady
22,69.64,4,2924.4,4.0,1343919,2.2504,4777.5,18.49,0,0.0,steady
23,70.891,4,2924.4,4.0,746363,1.2511,4772.6,21.24,0,0.0,steady
