t,x,dist,ap,rssi,rssi_src,bw_mbps,cache,latency_s,speed_bps,loss_pct,stall,vlc_buffer_pct,vlc_cum_stall_s,handover,vehicle_speed_kmh,outage,cum_outage_s
0.0,-300.0,300.0,ap1,-76.00,live,0.500,HIT,2.7189,192829,0.000,0,0.0,0.000,0,100,0,0.000
2.8,-222.5,222.5,ap1,-73.00,live,2.000,HIT,0.4166,1258532,0.000,0,0.0,0.000,0,100,0,0.000
3.3,-208.9,208.9,ap1,-73.00,live,2.000,HIT,0.6639,789684,0.000,0,0.0,0.000,0,100,0,0.000
4.0,-188.4,188.4,ap1,-72.00,live,2.000,HIT,1.0058,521241,0.000,0,0.0,0.000,0,100,0,0.000
5.1,-158.4,158.4,ap1,-70.00,live,5.000,HIT,0.3149,1665046,0.000,0,0.0,0.000,0,100,0,0.000
5.6,-144.5,144.5,ap1,-70.00,live,5.000,HIT,0.3921,1337084,0.000,0,0.0,0.000,0,100,0,0.000
6.1,-131.6,131.6,ap1,-69.00,live,5.000,HIT,0.3702,1416306,0.000,0,0.0,0.000,0,100,0,0.000
6.6,-117.7,117.7,ap1,-68.00,live,5.000,HIT,0.3324,1577314,0.000,0,0.0,0.000,0,100,0,0.000
7.1,-103.8,103.8,ap1,-67.00,live,5.000,HIT,0.4373,1198885,0.000,0,0.0,0.000,0,100,0,0.000
7.6,-89.7,89.7,ap1,-66.00,live,5.000,HIT,0.4355,1203945,0.000,0,0.0,0.000,0,100,0,0.000
8.1,-75.5,75.5,ap1,-64.00,live,8.000,HIT,0.2757,1901503,0.000,0,0.0,0.000,0,100,0,0.000
8.6,-61.6,61.6,ap1,-63.00,live,8.000,HIT,0.3681,1424142,0.000,0,0.0,0.000,0,100,0,0.000
9.1,-47.7,47.7,ap1,-60.00,live,8.000,HIT,0.3348,1565768,0.000,0,0.0,0.000,0,100,0,0.000
9.6,-33.9,33.9,ap1,-58.00,live,10.000,HIT,0.3812,1375192,0.000,0,0.0,0.000,0,100,0,0.000
10.0,-21.2,21.2,ap1,-54.00,live,10.000,HIT,0.2725,1924204,0.000,0,0.0,0.000,0,100,0,0.000
10.5,-7.3,7.3,ap1,-45.00,live,10.000,HIT,0.2511,2087890,0.000,0,0.0,0.000,0,100,0,0.000
11.0,6.6,6.6,ap1,-44.00,live,10.000,HIT,0.2867,1828929,0.000,0,0.0,0.000,0,100,0,0.000
11.5,20.4,20.4,ap1,-53.00,live,10.000,HIT,0.2409,2176652,0.000,0,0.0,0.000,0,100,0,0.000
12.0,34.3,34.3,ap1,-58.00,live,10.000,HIT,0.2922,1794579,0.000,0,0.0,0.000,0,100,0,0.000
12.5,48.2,48.2,ap1,-61.00,live,10.000,HIT,0.2764,1896955,0.000,0,0.0,0.000,0,100,0,0.000
13.0,62.1,62.1,ap1,-63.00,live,8.000,HIT,0.4320,1213489,0.000,0,0.0,0.000,0,100,0,0.000
13.5,76.2,76.2,ap1,-64.00,live,8.000,HIT,0.3420,1532822,0.000,0,100.0,0.000,0,100,0,0.000
14.0,90.0,90.0,ap1,-66.00,live,8.000,HIT,0.3646,1438119,0.000,0,100.0,0.000,0,100,0,0.000
14.5,103.9,103.9,ap1,-67.00,live,8.000,HIT,0.3813,1374972,0.000,0,100.0,0.000,0,100,0,0.000
15.0,116.6,116.6,ap1,-68.00,live,8.000,HIT,0.4267,1228635,0.000,0,100.0,0.000,0,100,0,0.000
15.5,130.5,130.5,ap1,-69.00,live,5.000,HIT,0.7225,725661,0.000,0,100.0,0.000,0,100,0,0.000
16.3,152.6,152.6,ap1,-70.00,live,5.000,HIT,0.6074,863175,0.000,0,100.0,0.000,0,100,0,0.000
17.0,171.4,171.4,ap1,-71.00,live,5.000,HIT,0.7584,691327,0.000,0,100.0,0.000,0,100,0,0.000
17.8,194.5,194.5,ap1,-72.00,live,5.000,HIT,0.7793,672739,0.000,0,100.0,0.000,0,100,0,0.000
18.7,218.2,218.2,ap1,-73.00,live,5.000,HIT,0.6923,757296,0.000,0,100.0,0.000,0,100,0,0.000
19.4,239.4,239.4,ap1,-74.00,live,5.000,HIT,0.5397,971362,0.000,0,100.0,0.000,0,100,0,0.000
20.0,256.3,243.7,ap2,-74.00,live,5.000,HIT,0.3747,1399172,20.000,0,100.0,0.000,1,100,0,0.000
24.1,369.6,130.4,ap2,-69.00,live,5.000,HIT,0.4293,1221325,0.000,0,100.0,0.000,0,100,0,0.000
24.6,383.5,116.5,ap2,-68.00,live,5.000,HIT,0.3719,1409589,0.000,0,0.0,0.000,0,100,0,0.000
25.1,397.4,102.6,ap2,-67.00,live,5.000,HIT,0.3144,1667737,0.000,0,0.0,0.000,0,100,0,0.000
25.6,411.3,88.7,ap2,-66.00,live,5.000,HIT,0.3027,1732015,0.000,0,0.0,0.000,0,100,0,0.000
26.1,425.2,74.8,ap2,-64.00,live,8.000,HIT,0.2199,2384450,0.000,0,0.0,0.000,0,100,0,0.000
26.6,439.0,61.0,ap2,-63.00,live,8.000,HIT,0.2377,2205216,0.000,0,0.0,0.000,0,100,0,0.000
27.1,452.9,47.1,ap2,-60.00,live,8.000,HIT,0.3340,1569898,0.000,0,0.0,0.000,0,100,0,0.000
27.6,466.8,33.2,ap2,-58.00,live,10.000,HIT,0.2239,2341857,0.000,0,0.0,0.000,0,100,0,0.000
28.1,480.7,19.3,ap2,-53.00,live,10.000,HIT,0.2999,1747994,0.000,0,0.0,0.000,0,100,0,0.000
28.6,494.6,5.4,ap2,-43.00,live,10.000,HIT,0.2561,2047048,0.000,0,0.0,0.000,0,100,0,0.000
29.1,508.5,8.5,ap2,-46.00,live,10.000,HIT,0.3023,1734313,0.000,0,0.0,0.000,0,100,0,0.000
29.6,522.4,22.4,ap2,-54.00,live,10.000,HIT,0.3385,1548742,0.000,0,0.0,0.000,0,100,0,0.000
30.1,536.3,36.3,ap2,-58.00,live,10.000,HIT,0.2600,2016136,0.000,0,0.0,0.000,0,100,0,0.000
30.6,550.2,50.2,ap2,-61.00,live,10.000,HIT,0.2939,1784075,0.000,0,0.0,0.000,0,100,0,0.000
31.1,564.1,64.1,ap2,-63.00,live,8.000,HIT,0.4012,1306875,0.000,0,0.0,0.000,0,100,0,0.000
31.6,577.2,77.2,ap2,-65.00,live,8.000,HIT,0.3435,1526409,0.000,0,0.0,0.000,0,100,0,0.000
32.1,591.1,91.1,ap2,-66.00,live,8.000,HIT,0.3874,1353368,0.000,0,0.0,0.000,0,100,0,0.000
32.5,603.9,103.9,ap2,-67.00,live,8.000,HIT,0.3636,1441813,0.000,1,0.0,0.330,0,100,0,0.000
33.0,617.8,117.8,ap2,-68.00,live,8.000,HIT,0.2988,1754469,0.000,1,0.0,0.330,0,100,0,0.000
33.5,631.7,131.7,ap2,-69.00,live,5.000,HIT,0.5179,1012420,0.000,1,0.0,1.331,0,100,0,0.000
34.1,648.1,148.1,ap2,-70.00,live,5.000,HIT,0.4967,1055460,0.000,1,0.0,1.331,0,100,0,0.000
34.7,663.9,163.9,ap2,-71.00,live,5.000,HIT,0.5380,974451,0.000,1,0.0,2.332,0,100,0,0.000
35.3,680.9,180.9,ap2,-72.00,live,5.000,HIT,0.6518,804427,0.000,1,0.0,3.333,0,100,0,0.000
36.0,701.0,201.0,ap2,-72.00,live,5.000,HIT,0.4150,1263317,0.000,1,0.0,3.333,0,100,0,0.000
36.5,714.5,214.5,ap2,-73.00,live,5.000,HIT,0.6477,809477,0.000,1,0.0,4.334,0,100,0,0.000
37.2,734.6,234.6,ap2,-74.00,live,5.000,HIT,0.7663,684157,0.000,1,0.0,5.335,0,100,0,0.000
38.1,757.9,242.1,ap3,-74.00,live,5.000,HIT,0.3163,1657702,20.253,1,0.0,9.363,1,100,0,0.000
42.1,869.3,130.7,ap3,-69.00,live,5.000,HIT,0.4375,1198449,0.000,1,0.0,9.363,0,100,0,0.000
42.6,883.2,116.8,ap3,-68.00,live,5.000,HIT,0.7812,671089,0.000,1,0.0,10.515,0,100,0,0.000
43.4,906.9,93.1,ap3,-66.00,live,5.000,HIT,0.7421,706521,0.000,1,0.0,11.516,0,100,0,0.000
44.3,929.7,70.3,ap3,-64.00,live,8.000,HIT,0.3063,1711793,0.000,1,0.0,11.516,0,100,0,0.000
44.8,943.6,56.4,ap3,-62.00,live,8.000,HIT,0.3205,1635997,0.000,1,0.0,12.518,0,100,0,0.000
45.3,957.4,42.6,ap3,-60.00,live,8.000,HIT,0.3081,1701930,0.000,1,0.0,12.518,0,100,0,0.000
45.8,971.3,28.7,ap3,-56.00,live,10.000,HIT,0.2880,1820432,0.000,1,0.0,12.518,0,100,0,0.000
46.3,985.2,14.8,ap3,-51.00,live,10.000,HIT,0.2467,2125213,0.000,1,0.0,13.519,0,100,0,0.000
46.8,999.1,0.9,ap3,-28.00,live,10.000,HIT,0.2235,2345388,0.000,1,0.0,13.519,0,100,0,0.000
