seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.13,1,295.0,4.0,77930,0.1265,4928.5,4.0,0,0.0,steady
2,0.451,1,295.0,4.0,190947,0.3207,4763.3,7.68,0,0.0,steady
3,2.862,4,2924.4,4.0,1440488,2.4114,4778.9,9.27,0,0.0,switch
4,5.475,4,2924.4,4.0,1560430,2.6121,4779.0,10.66,0,0.0,steady
5,8.214,4,2924.4,4.0,1637070,2.7392,4781.2,11.92,0,0.0,steady
6,9.91,4,2924.4,4.0,1013753,1.6957,4782.7,14.22,0,0.0,steady
7,12.02,4,2924.4,4.0,1260231,2.1095,4779.4,16.11,0,0.0,steady
8,14.513,4,2924.4,4.0,1489755,2.4932,4780.2,17.62,0,0.0,steady
9,19.733,4,2924.4,4.0,1655570,5.22,2537.3,16.4,0,0.0,steady
10,21.186,3,1465.2,4.0,867957,1.4526,4780.3,18.94,0,0.0,switch
11,22.911,4,2924.4,4.0,1030878,1.7247,4781.7,21.22,0,0.0,switch
12,25.073,4,2924.4,4.0,1291502,2.1615,4780.0,23.06,0,0.0,steady
13,27.645,4,2924.4,4.0,1537016,2.5722,4780.4,24.49,0,0.0,steady
14,30.864,4,2924.4,4.0,1623114,2.7172,4778.7,25.27,0,0.0,steady
15,54.119,4,2924.4,4.0,1928282,3.2327,4772.0,6.01,0,0.0,steady
16,55.332,4,2924.4,4.0,723959,1.2135,4772.9,8.8,0,0.0,steady
17,57.709,4,2924.4,4.0,1419382,2.377,4777.0,10.42,0,0.0,steady
18,60.926,4,2924.4,4.0,1920802,3.2159,4778.2,11.2,0,0.0,steady
19,63.217,4,2924.4,4.0,1367677,2.2907,4776.5,12.91,0,0.0,steady
20,65.916,4,2924.4,4.0,1610274,2.6988,4773.3,14.21,0,0.0,steady
21,70.962,4,2924.4,4.0,1634038,5.0457,2590.8,13.17,0,0.0,steady
22,72.049,3,1465.2,4.0,648712,1.0874,4772.5,16.08,0,0.0,switch
23,73.301,4,2924.4,4.0,746363,1.2517,4770.3,18.83,0,0.0,switch
24,75.988,4,2924.4,4.0,1604801,2.6866,4778.6,20.14,0,0.0,steady
25,77.46,4,2924.4,4.0,878550,1.4717,4775.6,22.67,0,0.0,steady
26,79.66,4,2924.4,4.0,1313599,2.2007,4775.3,24.47,0,0.0,steady
27,82.876,4,2924.4,4.0,1620229,2.7146,4774.9,25.25,0,0.0,steady
