seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.084,1,295.0,4.0,77930,0.08,7792.5,4.0,0,0.0,steady
2,0.284,1,295.0,4.0,190947,0.2005,7618.5,7.8,0,0.0,steady
3,3.409,5,5818.1,4.0,2986462,3.1241,7647.5,8.67,0,0.0,switch
4,6.767,5,5818.1,4.0,3208756,3.3573,7646.0,9.32,0,0.0,steady
5,9.981,5,5818.1,4.0,3073850,3.2141,7650.8,10.1,0,0.0,steady
6,12.075,5,5818.1,4.0,2001339,2.0934,7648.1,12.01,0,0.0,steady
7,14.712,5,5818.1,4.0,2522294,2.6366,7653.2,13.37,0,0.0,steady
8,17.541,5,5818.1,4.0,2704846,2.8286,7649.9,14.54,0,0.0,steady
9,22.657,5,5818.1,4.0,3235440,5.1149,5060.4,13.43,0,0.0,steady
10,24.451,4,2924.4,4.0,1713066,1.794,7639.0,15.63,0,0.0,switch
11,26.833,5,5818.1,4.0,2275093,2.3814,7642.7,17.25,0,0.0,switch
12,29.56,5,5818.1,4.0,2605054,2.7271,7642.1,18.52,0,0.0,steady
13,32.7,5,5818.1,4.0,2999223,3.1389,7644.0,19.38,0,0.0,steady
14,36.074,5,5818.1,4.0,3222204,3.3727,7643.0,20.01,0,0.0,steady
15,39.868,5,5818.1,4.0,3571798,3.7941,7531.3,20.22,0,0.0,steady
16,41.685,5,5818.1,4.0,1735349,1.8171,7640.0,22.4,0,0.0,steady
17,59.768,5,5818.1,4.0,3176389,18.0819,1405.3,8.32,0,0.0,steady
18,60.249,2,685.0,4.0,456690,0.481,7595.4,11.83,0,0.0,switch
19,63.08,5,5818.1,4.0,2702943,2.8308,7638.7,13.0,0,0.0,switch
20,66.278,5,5818.1,4.0,3054691,3.198,7641.6,13.81,0,0.0,steady
21,69.854,5,5818.1,4.0,3415444,3.5758,7641.3,14.23,0,0.0,steady
22,72.723,5,5818.1,4.0,2740303,2.8691,7640.8,15.36,0,0.0,steady
23,74.269,5,5818.1,4.0,1473621,1.545,7630.5,17.82,0,0.0,steady
24,77.547,5,5818.1,4.0,3098959,3.2779,7563.2,18.54,0,0.0,steady
25,81.116,5,5818.1,4.0,1868801,3.5688,4189.2,18.97,0,0.0,steady
26,82.494,4,2924.4,4.0,1313599,1.3784,7623.9,21.59,0,0.0,switch
27,85.736,5,5818.1,4.0,3095584,3.2415,7639.9,22.35,0,0.0,switch
28,89.572,5,5818.1,4.0,3663678,3.8356,7641.4,22.51,0,0.0,steady
29,92.895,5,5818.1,4.0,3173531,3.3231,7639.8,23.19,0,0.0,steady
30,96.216,5,5818.1,4.0,3172071,3.321,7641.2,23.87,0,0.0,steady
31,99.887,5,5818.1,4.0,3505634,3.6705,7640.6,24.2,0,0.0,steady
32,118.068,5,5818.1,4.0,3329855,17.9809,1481.5,10.02,0,0.0,steady
